Kalyn O'Conner, Rattata, mosquito
Cecil Homenick, Tentacool, mallard
Thu Macejkovic, Nidoran, ferret
Faustino Crona, Weepinbell, alligator
Linh Rippin, Magneton, buffalo
Lorenzo Stokes V, Ditto, horse
Aurea Jenkins Jr., Tauros, skunk
Lou Lang, Arbok, marten
Boyce Larson, Krabby, ant
Trenton Purdy, Farfetch'd, pig
Augustus Fadel, Pidgeot, crab
Sebastian Cartwright, Weedle, panda
Jewell King, Poliwrath, mink
Micah Sawayn V, Goldeen, rhinoceros
Drucilla Brakus, Vaporeon, termite
Cherly O'Hara, Scyther, kangaroo
Hank Durgan, Clefable, bee
Miss Joey Adams, Parasect, minnow
Arlie Strosin, Rhyhorn, wildebeest
Mr. Johnson Goldner, Alakazam, locust
Bianca Greenholt V, Charmeleon, weasel
Dr. Lacy Treutel, Nidoran, crab
Ms. Gala Rice, Moltres, moose
Wanita Stanton, Gyarados, mosquito
Brenda Abshire, Primeape, horse
Faustino Farrell, Magikarp, rabbit
Mr. Mitch Ziemann, Paras, gnat
Frank Sipes, Pidgeotto, marten
Vern Stoltenberg, Magneton, seal
Kennith Fadel I, Mewtwo, koala
Machelle Ward, Sandshrew, hornet
Sal Rowe PhD, Kangaskhan, clam
Yong Goodwin Sr., Graveler, caribou
Dr. Lupe Dickinson, Electabuzz, guinea pig
Sarina Ortiz, Moltres, cattle
Mr. Vonda Mante, Nidoran, jackal
Lavonia Dibbert, Staryu, alligator
Zenobia Weissnat, Tauros, shark
Dr. Lino Considine, Nidoran, dinosaur
Alva O'Kon, Pidgey, beetle
Angelic Schuppe DDS, Gastly, snail
Bernard Rolfson II, Mankey, wildebeest
Jerald Waelchi, Koffing, trout
Magdalena Kassulke, Golduck, elephant
Kieth Grant, Vileplume, mosquito
Miss Troy Cassin, Caterpie, cat
Carie Emard, Tentacruel, trout
Mrs. Velma McLaughlin, Snorlax, gerbil
Mrs. Noel Goldner, Ekans, hornet
Micheal Anderson, Mew, hornet
