Lawrence Simonis, Pikachu, marten
Raymundo Von PhD, Jolteon, fox
Kelly Hickle, Butterfree, squirrel
Gema Dicki, Electrode, alligator
Kristopher Bogan, Omanyte, squirrel
Kasey Jacobi I, Slowpoke, louse
Barton Blick III, Nidoking, elk
Rachelle Cartwright, Raticate, tiger
Clementina Glover, Dragonite, giraffe
Lorine Hessel Jr., Clefable, cheetah
Ji Ullrich, Nidorino, raven
Ronnie Stroman, Poliwhirl, goldfish
Garland Champlin, Marowak, yak
Miss Joye Senger, Tangela, ape
Shawanna Mosciski, Jolteon, porcupine
Reena Rutherford, Exeggutor, kangaroo
Ms. Ellena Dibbert, Ditto, dinosaur
Ms. Keenan Parker, Sandslash, elk
Dr. Bo Heidenreich, Caterpie, hare
Angelic Kessler, Vaporeon, alligator
Anton Rippin, Magmar, herring
Lavinia Fadel V, Arbok, shark
Hassan O'Keefe, Vileplume, skunk
Cherelle Wyman, Clefairy, wasp
Holli Ondricka, Dodrio, crow
Trena Rogahn, Lapras, marten
Ms. Aldo Leuschke, Nidorino, coyote
Tatum Rau, Pikachu, eagle
Ms. Matt McKenzie, Butterfree, water buffalo
Dr. Faustino Reynolds, Alakazam, llama
Jestine Donnelly, Beedrill, water buffalo
Nathanial Morar, Butterfree, lion
Colby Keeling, Hypno, duck
Ms. Lyman Friesen, Raichu, elk
Mrs. Tristan Rutherford, Graveler, dog
Miss Hiedi Corwin, Tangela, gnat
Dennis Hayes, Raticate, wildebeest
Manuel Fadel V, Vaporeon, bee
Macie Oberbrunner PhD, Zubat, eagle
Cody Herzog, Nidorina, scorpion
Carole Rohan III, Weezing, hippopotamus
Marcell Beier, Cloyster, scorpion
Marna Rutherford, Magikarp, hare
Luigi Pfannerstill Jr., Psyduck, moose
Mr. Alfonso Hodkiewicz, Pidgeotto, rhinoceros
Kristopher Farrell, Starmie, tiger
Drew Shields, Kabuto, butterfly
Rusty Bauch DVM, Krabby, rabbit
Owen Goodwin, Electrode, salmon
Molly Abbott, Kakuna, buffalo
