Jaye Zboncak, Nidoran, cat
Wilma Huels, Marowak, water buffalo
Dr. Dana Mosciski, Jolteon, pug
Refugio Turner, Doduo, bee
Clarence Schimmel, Caterpie, jackal
Deangelo Parker, Shellder, eel
Charlott Harris, Blastoise, donkey
Ariel Wolf III, Charizard, beaver
Lang Beier, Magneton, llama
Carlotta Fahey, Hypno, otter
Delcie Keebler, Lapras, koala
Hermelinda Nikolaus, Raticate, impala
Nelson Shields, Poliwrath, goose
Maureen Carroll, Omastar, monkey
Kristofer Lowe DVM, Nidorina, coyote
Ivonne Lesch, Exeggcute, ox
Carry Hilpert II, Bellsprout, pug
Deonna Kerluke, Rhydon, spider
Tania Oberbrunner V, Dratini, bear
Sergio Larson, Vileplume, jackal
Donny Strosin, Aerodactyl, fly
Bettye Lind, Pinsir, cockroach
Boyd Barton, Cloyster, fly
Devin Hickle, Kingler, porcupine
Erin Runte PhD, Parasect, yak
Ruth Douglas, Gloom, swan
Blake Murphy, Wigglytuff, sheep
Les Weissnat, Diglett, walrus
Adam Weber, Magneton, cheetah
Trisha Zemlak, Tentacool, butterfly
Annemarie Schuppe, Electrode, cod
Kerstin Stracke, Primeape, goat
Ismael Deckow PhD, Gengar, dolphin
Reed Rosenbaum, Beedrill, ant
Luvenia Stroman, Machoke, manatee
Arline Glover, Growlithe, rat
Ms. Rickie Beatty, Nidoking, porpoise
Milo Treutel, Poliwrath, coyote
Mrs. Boyce Hegmann, Poliwag, crab
Cherryl Rodriguez, Onix, caribou
Phung Waters PhD, Jolteon, pug
Stephanie Kulas, Magikarp, reindeer
Mohamed Oberbrunner II, Porygon, water buffalo
Millie Barton, Sandshrew, mule
Antonia Mitchell, Venomoth, deer
Quinn Rowe, Poliwag, marten
Mr. Ronnie Green, Zubat, worm
Pearline Cassin, Exeggutor, armadillo
Roger Gaylord, Rapidash, locust
Steve Senger, Koffing, moose
