Rachell Rath, Pinsir, worm
Jay Runolfsson, Slowpoke, yak
Mitchell Hirthe Sr., Dugtrio, hippopotamus
Waneta Zieme, Fearow, scorpion
Arlinda Stark, Magmar, salmon
Chauncey Robel, Mr. Mime, swan
Robin Walker V, Vulpix, cicada
Mike Jaskolski, Caterpie, kangaroo
Bunny Dicki, Slowpoke, woodchuck
Aron Barrows II, Machop, chimpanzee
Dominga Torp MD, Dodrio, rhinoceros
Nettie Lockman Sr., Parasect, hyena
Morris Bauch, Bellsprout, pug
Sommer Farrell PhD, Magneton, skunk
Valentine Torp, Poliwhirl, hedgehog
Cherilyn Nicolas, Lickitung, buffalo
Marlin Yost, Fearow, eel
Monte Buckridge, Squirtle, deer
Jamel Kirlin, Zubat, dog
Bart Abbott, Nidoran, salmon
Man Pagac, Mew, gorilla
Mr. Sammy Rolfson, Seadra, lizard
Lewis Veum III, Oddish, coyote
Shavonda Turner, Lapras, fox
Dr. Waylon Breitenberg, Slowpoke, sea lion
Miss Francina Miller, Psyduck, armadillo
Shanelle Barton, Zapdos, bee
Kera Ebert, Koffing, goat
Ms. Kenia Keebler, Scyther, oyster
Wm Dare, Arbok, raven
Asa Rolfson, Tentacool, cat
Margret Muller, Weepinbell, deer
Tynisha Pagac, Alakazam, rabbit
Miss Walker Bosco, Seadra, lion
Foster Daugherty, Rhydon, alpaca
Darwin Rodriguez, Nidorina, wombat
Dr. Phung Littel, Doduo, walrus
Darius Tillman, Exeggcute, wasp
Frances Labadie, Cubone, zebra
Penelope Yundt, Diglett, yellowjacket
Miss Jama Bayer, Machoke, woodchuck
Hong Haley, Poliwrath, woodchuck
Kerry Hilll, Tentacool, tortoise
Alla Oberbrunner, Raticate, yellowjacket
Classie Rolfson, Starmie, elk
Taren Osinski, Poliwrath, ape
Gayle Wyman, Ninetales, rat
Miquel Stracke, Kakuna, hamster
Barney Schmidt, Graveler, cat
Victorina O'Keefe, Exeggcute, cicada
