Coretta Ebert, Cubone, salmon
Mohammad Will, Blastoise, rat
Rosana Robel, Omanyte, coyote
Augustus Rosenbaum, Raichu, bear
Chase Kuhic, Sandshrew, hamster
Mrs. Amal Schaden, Dragonair, sheep
Ms. Benton Kling, Vileplume, armadillo
Katina Boehm, Fearow, tortoise
Mrs. Moshe Gutmann, Geodude, koala
Phil Thiel, Rattata, frog
Clemente Schowalter DVM, Kabuto, antelope
My Champlin, Weedle, scorpion
Fritz Zboncak, Butterfree, frog
Ms. Malik O'Kon, Farfetch'd, raccoon
Wilburn Towne, Machamp, rhinoceros
Meredith Fahey III, Flareon, wolf
Dr. Harry O'Keefe, Nidoran, jackal
Omar Lubowitz, Slowpoke, spider
Man Hettinger, Pidgey, oyster
Berta Ernser II, Bellsprout, gerbil
Mrs. Vincent Runolfsson, Slowpoke, snail
Dusty Bechtelar Sr., Nidoking, crocodile
Berneice Paucek, Weedle, kangaroo
Katerine Blick Sr., Gastly, alpaca
Hilton Stroman, Squirtle, salmon
Nickolas Skiles, Articuno, dinosaur
Ashley Wuckert, Nidoqueen, mallard
Jame Kuhic, Dratini, mammoth
Nicolas Gusikowski DDS, Weezing, prairie dog
Mikel Hirthe, Exeggcute, eagle
Florinda Mills, Dragonite, wallaby
Helaine Quigley, Squirtle, herring
Dr. Deon Luettgen, Charmander, tortoise
Carl Shields, Grimer, locust
Leonardo Kling, Jigglypuff, gnat
Aleen Orn IV, Muk, raccoon
Petra Ritchie, Bellsprout, deer
Michael McCullough, Kabutops, chimpanzee
Markus Langosh, Moltres, whale
Jami Pfeffer, Moltres, mink
Mr. Arden Reichel, Tentacruel, cat
Mrs. Harland Towne, Mr. Mime, hornet
Alyssa Erdman, Ditto, cicada
Ms. Brent Terry, Alakazam, porpoise
Kristie Carter, Weedle, skunk
Manuel Towne I, Abra, ferret
Miss Hai Greenholt, Poliwag, swan
Florentino Schinner, Lickitung, minnow
Bob Osinski I, Jolteon, elephant
Kena Grant, Exeggcute, frog
