Jarrod Moen, Poliwag, sheep
Jordon Wehner, Ivysaur, koala
Tandy Dickinson, Abra, elephant
Shawn Luettgen, Rhydon, manatee
Long Gleason, Clefable, locust
Hannah Feil, Ponyta, badger
Rod Kohler, Gyarados, ox
Bernadette Leffler, Poliwhirl, skunk
Sanford Osinski, Cloyster, alligator
Iraida Miller, Zubat, mule
Gino Upton, Jolteon, platypus
Aileen Armstrong, Kadabra, louse
Glen Turcotte, Clefairy, chimpanzee
Miss Laurine Dickens, Slowbro, hyena
Talia Moen II, Ditto, fly
Nella Doyle, Raticate, tortoise
Dr. Nannette Haag, Jolteon, trout
Dr. Thomasine Heathcote, Paras, rabbit
Dr. Laurena Gutmann, Nidorina, yak
Jaunita Goodwin, Metapod, mule
Louisa Walsh, Jigglypuff, crab
Niesha Kihn, Kabutops, skunk
Grover Dicki IV, Ditto, bear
David Kerluke, Pidgeot, reindeer
Teressa Hammes, Ninetales, hyena
Chanelle Doyle, Rhyhorn, beetle
Ray Bruen, Nidorino, prairie dog
Barney McClure, Doduo, turtle 
Milan Ondricka, Vaporeon, ox
Barry Carroll, Bulbasaur, rat
Buford Johns, Porygon, deer
Rich Grimes, Geodude, mouse
Lavera Breitenberg, Koffing, hare
Tommie Raynor DDS, Golduck, yellowjacket
Quincy Cummings Sr., Venomoth, mink
Florencio Feil, Psyduck, eel
Shanta D'Amore, Snorlax, tiger
Mandy Graham, Horsea, zebra
Oliver Fritsch, Dodrio, goat
Willy Stanton, Magmar, reindeer
Scottie Tremblay, Krabby, wombat
Dale Gutmann, Electrode, ant
Miss Maragret Anderson, Gengar, gorilla
Ms. Laveta Kub, Pinsir, skunk
Lila Hegmann, Pinsir, beaver
Mack Baumbach, Pidgeotto, antelope
Randolph Kris, Venusaur, water buffalo
Loren Kovacek III, Porygon, hyena
Mr. Berry Lynch, Kingler, squirrel
Nikia Rath Sr., Squirtle, yellowjacket
