Irwin Beer MD, Rapidash, tiger
Jeffrey Carter II, Lapras, horse
Darren Funk, Voltorb, hyena
Jordon Moore Jr., Slowpoke, lion
Tory Kautzer, Victreebel, camel
Elna Graham, Exeggcute, hyena
Burt Gibson, Ekans, muskrat
Gayle Schoen PhD, Machamp, deer
Wilton Gleichner, Cubone, mammoth
Adelle Herzog MD, Koffing, yak
Ofelia Hagenes, Gengar, weasel
Dr. Mitzi Vandervort, Horsea, ant
Sheryl Bauch, Mankey, leopard
Tatiana Johnston, Psyduck, oyster
Arron Maggio III, Machamp, gnat
Nicholas Emard II, Squirtle, snail
Ms. Elbert Mante, Arcanine, guinea pig
Mr. Dianna Dooley, Charmander, guinea pig
Lupe McClure, Aerodactyl, macaw
Dusty Shanahan, Nidoran, seal
Hanh Wolf, Mewtwo, bee
Yuette Nader, Vaporeon, wombat
Jeramy Moore, Pidgeot, water buffalo
Sparkle Dickinson DDS, Tentacruel, cattle
Thomasina Cassin, Kakuna, wasp
Domenic Harvey, Seel, mosquito
Mao Armstrong, Moltres, hyena
Sheilah Howe, Bellsprout, locust
William Gusikowski, Psyduck, whale
Dominic Fadel, Hitmonlee, panda
Tameka Bernhard, Victreebel, yellowjacket
Jaye Bednar II, Wigglytuff, weasel
Andy Harris, Nidorino, prairie dog
Mose Cummerata, Jolteon, rabbit
Grant O'Kon, Eevee, termite
Eliseo Denesik, Dragonair, zebra
Gerardo Conn, Tauros, eel
Latrisha Kirlin, Venusaur, sheep
Lore Dicki DDS, Articuno, shark
Earnest Kuhic MD, Pidgeotto, eel
Paola Daugherty IV, Seadra, minnow
Hubert Adams, Pidgeot, moose
Kristyn Boyle, Tauros, guinea pig
Mrs. Oliver Davis, Mewtwo, prairie dog
Erich Breitenberg, Growlithe, toad
Codi Gleichner, Charmander, herring
Dr. Forrest Dibbert, Charmander, bat
Becki Swift, Rhyhorn, frog
Denver Stokes, Rapidash, horse
Charles Fay, Jynx, platypus
