Antoine Homenick III, Venonat, hedgehog
Elliott Hahn, Growlithe, mammoth
Ardath Johns, Pinsir, chinchilla
Shawana Denesik, Primeape, sheep
Mr. Clarissa Dicki, Raticate, eagle
Cary Klein, Machamp, scorpion
Eula Sauer V, Seaking, raven
Marie Buckridge, Seaking, cicada
Ronni Ernser Jr., Voltorb, elephant
Jesse Frami, Machop, hornet
Sonia Rosenbaum PhD, Pidgey, sardine
Silas Connelly, Starmie, porpoise
Miles Fay, Nidorino, turtle 
Marisela Kunze, Kingler, guinea pig
Minh Ward, Rattata, cheetah
Ashely Grant, Meowth, hedgehog
Anderson Towne, Charizard, horse
Melanie Hagenes Sr., Rattata, dinosaur
Lanny Wisoky, Exeggutor, mink
Vicente Wintheiser, Raichu, lizard
Fletcher Hauck, Spearow, bat
Alexis Klein PhD, Nidorina, fox
Jeanett Will Sr., Clefairy, jellyfish
Devon Corkery, Rhydon, gerbil
Mr. Carolann Haag, Weezing, dinosaur
Sirena Heathcote Jr., Rapidash, toad
Devorah Lockman, Bulbasaur, toad
Earle Pagac, Doduo, wombat
Michale Emmerich, Articuno, mammoth
Christian McGlynn, Tangela, alligator
Alden Schamberger, Primeape, oyster
Ursula Shanahan, Slowbro, goat
Miss Sirena Mraz, Gengar, turtle 
Miss Bertram Hettinger, Aerodactyl, ape
Carey Abbott IV, Vaporeon, elk
Randolph Mertz, Nidoran, leopard
Wilbert Klocko, Hitmonchan, locust
Keenan Ebert PhD, Poliwrath, toad
Dario Lemke, Sandslash, sheep
Roma Connelly, Tentacruel, seal
Olive Rogahn, Porygon, serval
Malorie Cremin, Ditto, wombat
Miss Karl Hills, Magikarp, eagle
Ginny Kessler, Snorlax, porpoise
Miss Chang Bauch, Grimer, badger
Angella Borer III, Voltorb, spider
Vella Doyle, Haunter, pig
Ms. Terrance Moore, Diglett, manatee
Markus Labadie, Porygon, fly
Cora Klocko, Clefable, dog
