Reinaldo Hartmann, Exeggutor, crow
Mauro Fadel, Kingler, caribou
Edgardo Blanda MD, Magikarp, clam
Joel Bahringer, Aerodactyl, mallard
Cleora Predovic, Pikachu, cicada
Leo Kuvalis, Grimer, chimpanzee
Tyra Donnelly, Blastoise, reindeer
Emerald Kautzer, Psyduck, deer
Wilford Schoen, Slowpoke, raven
Weston Spinka, Slowpoke, hippopotamus
Myles Larkin, Cubone, toad
Juanita Ruecker, Nidoking, mammoth
Kayleigh Walter, Staryu, beaver
Mr. Tory Weimann, Kingler, raven
Erlinda McClure, Slowpoke, rabbit
Mr. Rhoda Mraz, Nidoqueen, caribou
Nereida Jakubowski, Pidgey, squirrel
Alecia Green, Omanyte, hippopotamus
Ivelisse Jaskolski PhD, Metapod, hyena
Tierra Renner, Flareon, armadillo
Todd O'Hara, Blastoise, hippopotamus
Wesley Lesch, Clefable, snake
Tasha Jacobs, Kabutops, raven
Ramon Blanda, Articuno, cat
Ms. Mario Thompson, Eevee, crow
Mrs. Ophelia O'Keefe, Vulpix, chimpanzee
Noble Miller, Jigglypuff, swan
Yanira Hoeger, Vaporeon, marten
Mr. Ocie Smith, Grimer, skunk
Shauna Yost, Nidorino, dolphin
Alexis Raynor II, Venusaur, scorpion
Evangelina Runte, Goldeen, hornet
Marylin Kessler, Staryu, hedgehog
Roseanna Rippin DDS, Muk, baboon
Lieselotte Lakin, Dugtrio, crocodile
Dr. Doreen O'Reilly, Nidorina, yellowjacket
Dudley MacGyver, Growlithe, koala
Carmelina Fadel, Gastly, mallard
Ms. Scotty Huels, Omastar, wolf
Katherin D'Amore V, Ponyta, macaw
Beula Bruen, Eevee, buffalo
Kurt Beahan Sr., Omastar, weasel
Hilario Satterfield, Jynx, llama
Elden Bernhard, Beedrill, eagle
Blaine Larson, Rattata, armadillo
Darwin Renner, Pinsir, bear
Marian Barton, Charizard, lizard
Alfreda Douglas, Tauros, platypus
Stanford Weber I, Magneton, crab
Alberto Cremin, Sandshrew, toad
