Mrs. Jon Pfannerstill, Bellsprout, wombat
Marivel Heaney, Rhyhorn, seal
Sammie Dicki, Pidgey, turtle 
Freeman Murphy, Tentacruel, camel
Miss Nicky Bednar, Chansey, gnu
Johnette Heller, Cloyster, yellowjacket
Chelsie Monahan IV, Pikachu, ferret
Lawrence Will, Mr. Mime, lion
Hershel Klein, Ponyta, chinchilla
Kiley Hermann, Kabuto, duck
Colton Turcotte, Alakazam, salmon
Latisha Bailey, Dratini, hyena
Leandro Schneider II, Seaking, sea lion
Eusebio Feest MD, Venomoth, hedgehog
Fred Feest, Kabuto, sheep
Tyrell Adams DDS, Tentacool, beaver
Charity Conroy, Mew, rhinoceros
Yong Hirthe, Ninetales, ape
Enrique Halvorson, Fearow, yellowjacket
Jacques Wunsch, Gengar, dinosaur
Dr. Fletcher Reichel, Zapdos, chinchilla
Curtis Roberts, Sandslash, alligator
Santana Mertz Sr., Voltorb, lion
Timothy Veum, Mewtwo, crab
Sung Morissette, Golem, goldfish
Tyrone Nicolas DDS, Ninetales, jellyfish
Mrs. Audrie O'Hara, Blastoise, eel
Vincent Crist, Victreebel, walrus
Earlie Marvin, Kadabra, cicada
Emory Bogisich, Seel, tiger
Vanita Stark, Jynx, llama
Ferdinand Greenfelder, Spearow, water buffalo
Tennille Breitenberg, Pidgeot, trout
Amelia Nicolas, Seaking, hamster
Rivka Hudson MD, Oddish, scorpion
Rob Cormier, Metapod, alpaca
Rozanne Jast, Tangela, yak
Janell Fritsch, Victreebel, mallard
Mazie Berge DDS, Tauros, elk
Donny Rice MD, Charmander, rabbit
Rafael Turcotte, Graveler, caribou
Arthur Kirlin DVM, Dragonair, ant
Annett Klein, Poliwhirl, mallard
Emery Collins, Onix, ferret
Marcela Bashirian, Diglett, grasshopper
Mckinley Marks, Omanyte, eel
Garland Hammes MD, Zapdos, oyster
Carlo Lehner, Bulbasaur, pig
Ms. Fredrick Schinner, Graveler, otter
Karmen Kassulke IV, Drowzee, gerbil
