Leisa O'Reilly Jr., Tangela, crocodile
Nu Mante, Blastoise, crow
Phuong Armstrong, Caterpie, seal
Adolfo Gerhold DDS, Eevee, duck
Ethelyn Hyatt, Dewgong, gorilla
Dorian Thompson, Krabby, dinosaur
Lurline Hintz, Electrode, raven
Nancy Hackett, Golem, dog
Dorian Watsica, Mankey, cicada
Latonia Kris, Vileplume, cattle
Lorean Conn Jr., Onix, clam
Mrs. Elbert Kulas, Poliwag, marten
Jarrett Schamberger MD, Raticate, snake
Kelly Goldner, Caterpie, squirrel
Shelia Kautzer V, Starmie, dinosaur
Mrs. Howard Kulas, Zapdos, porpoise
Amada Herman, Caterpie, dinosaur
Mercedez Hermann V, Drowzee, tortoise
Mr. Shara Fadel, Magnemite, fish
Marshall Wyman, Rattata, mule
Miss Blondell Deckow, Horsea, worm
Sergio Grimes, Kakuna, crow
Ms. Terry Hudson, Primeape, hippopotamus
Christal O'Conner, Starmie, buffalo
Jame Parker I, Sandshrew, guinea pig
Louetta Littel, Goldeen, fox
Sherrie Wisoky, Arbok, duck
Honey Waters, Exeggcute, reindeer
Miss Ira O'Conner, Magikarp, wombat
Dr. Harmony Bins, Gyarados, bee
Merrill Baumbach I, Cloyster, goose
Cory Ferry, Muk, wasp
Julie Weimann II, Wigglytuff, tiger
Andy Stracke, Seaking, hamster
Jordan Kub PhD, Clefable, serval
Carmella Morissette MD, Metapod, buffalo
Josephine Kirlin, Krabby, cod
Miss Antone Wisozk, Spearow, duck
Donald Huel, Pidgeot, scorpion
Daron Luettgen, Seadra, shark
Jeromy Gislason, Cloyster, elk
Jere Keebler, Electrode, dog
Ena Weimann, Omastar, mole
Sanjuanita Raynor, Nidorino, cat
Elvis Moore II, Charizard, chinchilla
Albina Williamson, Paras, worm
Shayne Bogisich, Weedle, serval
Gregg Stark, Nidoking, caribou
Lakiesha O'Hara, Krabby, squirrel
Ms. Albert Marks, Kabutops, fish
