Gerald Wehner, Growlithe, giraffe
Teodora Rohan, Dragonair, elk
Madonna Torp, Weepinbell, tiger
Ronald Cole, Nidoran, raven
Renato Stark, Chansey, rhinoceros
Pearl Beer, Nidoqueen, herring
Tracie O'Hara, Psyduck, trout
Ira Wolff V, Kangaskhan, trout
Debby Jacobson, Onix, hare
Kathrine Rowe, Pidgey, caribou
Duane Ullrich, Grimer, whale
Galen Gulgowski II, Hitmonlee, gnat
Alexis Kulas, Kadabra, hedgehog
Dr. Chantal Marks, Pidgeotto, mink
Willy Harber, Paras, manatee
Willy Connelly V, Lapras, eagle
Clinton Paucek, Venomoth, mink
Colby Bednar, Electabuzz, fox
Luther Armstrong III, Cloyster, chimpanzee
Mrs. Vannessa Toy, Persian, pig
Charlsie White, Rattata, elk
Adolph Cassin, Electrode, pug
Diedra Kohler, Venusaur, bat
Mr. Sherril Dach, Primeape, tiger
Herminia Crist MD, Weedle, snake
Blanch Rippin, Psyduck, macaw
Corazon Price, Gyarados, baboon
Regina Torp, Goldeen, cockroach
Harvey Reynolds II, Farfetch'd, marten
Matt Kuphal IV, Drowzee, koala
Bryant Wehner Jr., Magikarp, butterfly
Lou Gutmann, Gyarados, donkey
Eric Jones DVM, Nidoran, armadillo
Gilberto Kutch, Arcanine, bat
Dannielle Graham, Meowth, buffalo
Aleen Kassulke III, Zapdos, leopard
Lavon Gibson, Fearow, yellowjacket
Tristan Larson II, Pidgeotto, leopard
Mariette Larson, Dodrio, fox
Mr. Jacquelyne Ortiz, Paras, snake
Elisha Langworth DVM, Fearow, turtle 
Valentin Swaniawski, Raticate, fly
Sharice Bednar, Dratini, donkey
Lenny Herzog, Metapod, beaver
Anya Shanahan, Kabuto, hyena
Fausto Muller Jr., Clefable, guinea pig
Fabian Wyman, Zubat, guinea pig
Corina Dach, Tentacruel, pug
Dr. Felipe Hoeger, Seadra, lion
Adeline Glover, Kangaskhan, platypus
