Grady Cormier, Pidgey, muskrat
Marc Auer, Raichu, whale
Mrs. Jerrod Smitham, Electabuzz, porpoise
Edie Connelly, Rattata, hound
Sergio Kuhn, Venonat, porcupine
Graham Konopelski, Seel, coyote
Lyda Steuber, Alakazam, bee
Blair Hagenes, Venusaur, guinea pig
Theressa Conn II, Hypno, butterfly
Ezekiel Luettgen Sr., Slowbro, elk
Miss Jack Koepp, Mankey, alligator
Jerica Schmidt, Dragonair, alpaca
Yasuko Macejkovic, Dratini, locust
Laquanda Schinner, Raichu, worm
Buford Bernhard, Horsea, tiger
Miss Lezlie Muller, Golbat, termite
Eric Monahan, Eevee, otter
Maryjo Fritsch DVM, Voltorb, mouse
Cecille Fay V, Abra, wildebeest
Mrs. Damaris Kub, Arbok, rabbit
Bruce Mills II, Raichu, water buffalo
Evan Brekke, Farfetch'd, worm
Jerrold Borer, Seadra, hamster
Dorian Zieme, Dewgong, giraffe
Miriam Wisozk, Magnemite, fish
Ignacio Hand, Kakuna, wolf
Elden Flatley Jr., Dragonair, hound
Kendall Brakus, Pinsir, donkey
Sandie Klocko, Sandshrew, llama
Philip Hilpert, Slowpoke, hippopotamus
Nathan Jaskolski III, Ponyta, llama
Dr. Anisa Franecki, Magneton, otter
Tonisha Heaney Sr., Meowth, spider
Angel Ullrich II, Kadabra, chimpanzee
Jamie Schuppe DDS, Mew, guinea pig
Maynard Bernhard, Nidoqueen, armadillo
Dr. Romona Mraz, Parasect, salmon
Damian Hirthe DVM, Cubone, alpaca
Rolland Franecki, Mew, caribou
Miss Alix Runolfsdottir, Lickitung, grasshopper
Loida Murazik, Kadabra, skunk
Sudie Kilback, Growlithe, reindeer
Rudy Beier, Gengar, gnat
Michelle Schmidt, Abra, porcupine
Shaquana Cruickshank, Pidgey, impala
Sana Bernhard, Snorlax, wombat
Elton Bartoletti, Drowzee, lizard
Felipe Cronin, Pidgeot, whale
Greg Wilkinson I, Drowzee, beaver
Sudie Muller, Kangaskhan, kangaroo
