Zulma Sawayn, Rhyhorn, guinea pig
Genaro Turner, Rhyhorn, otter
Darius Hackett, Seadra, dinosaur
Minda Stokes, Squirtle, spider
Mr. Olga Beier, Vulpix, macaw
Melony Connelly, Omastar, jackal
Mrs. Ursula Hackett, Hitmonchan, wombat
Laurine Hammes, Charmeleon, cattle
Floyd Morissette, Kangaskhan, mammoth
Millard Padberg, Goldeen, chimpanzee
Otto Runolfsdottir, Squirtle, elephant
Ms. Britt Haag, Raichu, pig
Saundra Jacobi, Jynx, macaw
Shawn Gutkowski, Marowak, camel
Karissa Bogisich, Golbat, mule
Stephen Bauch, Mankey, muskrat
Lawrence Ruecker, Pikachu, worm
Mr. Edelmira Wiegand, Mankey, salmon
Valentin Kemmer, Charmeleon, cockroach
Jeannie Toy, Seel, llama
Dr. Dana Roberts, Sandshrew, goat
Arvilla Wilderman, Ditto, locust
Fidelia Cummings III, Rattata, elk
Reggie Treutel, Wigglytuff, yak
Nolan Price, Psyduck, goat
Reyes Schumm, Ivysaur, mammoth
Armand Wintheiser V, Arbok, badger
Chuck Conroy, Pidgey, horse
Reed Pagac, Venomoth, termite
Bryan Ondricka, Parasect, panda
Lissette Lesch, Pikachu, fox
Josette Tremblay, Spearow, butterfly
Kyla Maggio, Doduo, cricket
Mrs. Collin Lockman, Machop, gnu
Dr. Virgilio Gerlach, Pidgeot, woodchuck
Sheena McDermott, Mew, tortoise
Alda Volkman, Charmander, dinosaur
Louella Rolfson, Exeggcute, marten
Jacques Pagac Jr., Articuno, camel
Ronnie Gulgowski, Arcanine, minnow
Neil Deckow I, Exeggutor, gnat
Darryl Pagac, Butterfree, scorpion
Alan Jones PhD, Pidgeot, beetle
Annamaria Collins, Beedrill, sheep
Danuta Hackett, Golbat, dolphin
Mr. Richie Purdy, Lickitung, rabbit
Loretta Wintheiser, Dratini, panda
Toby Dare, Sandslash, cheetah
Fleta Schmidt DVM, Kangaskhan, mouse
Leroy Windler, Venomoth, kangaroo
