Olimpia Rogahn DDS, Poliwrath, frog
Michal Mills, Kabutops, serval
Alejandra Baumbach, Omanyte, scorpion
Brendan Wisozk, Clefable, platypus
Shirlene Olson, Snorlax, walrus
Darrel Kemmer, Nidorino, locust
Rashad Steuber, Vaporeon, horse
Bryant Baumbach, Persian, ferret
Valencia Hand V, Haunter, tiger
George Hudson, Arcanine, ox
Arla Schoen, Koffing, skunk
Mirian Maggio, Victreebel, llama
Duane Rau DDS, Alakazam, caribou
Lyman Lemke, Butterfree, manatee
Orval Langworth, Tangela, pig
Charles Weissnat, Kabutops, leopard
Brain Leannon DVM, Wigglytuff, hippopotamus
Madalene Green, Raichu, swan
Miss Grover Trantow, Omastar, koala
Mrs. Marlena Greenholt, Hitmonchan, beetle
Ms. Doug Legros, Pikachu, prairie dog
Ms. Quincy Harber, Pidgey, trout
Hilton Hilpert III, Jigglypuff, goldfish
Korey Casper IV, Venusaur, weasel
Glenda Torphy, Nidoran, shark
Ms. Tennie Tromp, Pikachu, alligator
Mrs. Keenan Green, Graveler, hamster
Vickie Hammes, Gastly, cod
Almeda Kreiger, Mew, antelope
Antone Ward, Rattata, yellowjacket
Rosie Abshire, Metapod, hedgehog
Newton Marquardt DVM, Dodrio, lizard
Ms. Samuel Moen, Tentacool, dolphin
Billy Streich, Dodrio, mink
Dr. Eric Turcotte, Spearow, hornet
Zina Kshlerin, Kadabra, jackal
Alec Ebert, Fearow, otter
Mrs. Sharron Hessel, Slowpoke, minnow
Miss Angelica Schneider, Weezing, mink
Joel Bailey, Parasect, hamster
Bradford Schmeler, Nidorina, pug
Hector Parisian, Jynx, manatee
Renaldo Witting MD, Omastar, spider
Mozell Kerluke, Golduck, zebra
Malcom Koelpin, Tangela, armadillo
Cyril Carter, Rapidash, horse
Mr. Catrina Bergnaum, Zubat, wolf
Zack Kiehn I, Hitmonchan, snake
Ms. Carlita McGlynn, Goldeen, hamster
Foster Wilderman, Dugtrio, wombat
