Carlo King, Tentacool, mink
Celinda Sporer, Charmander, minnow
Malia Cruickshank Jr., Zapdos, grasshopper
Carmine Schumm, Magneton, alpaca
Jestine Stark, Machoke, swan
Darwin Block, Staryu, eagle
Wilfredo Schowalter, Porygon, herring
Amparo Kiehn, Arcanine, yak
Patti Block, Machamp, hyena
Derick Friesen, Parasect, salmon
Ms. Yoko Stoltenberg, Gloom, deer
Eleonore Harber PhD, Machoke, minnow
Stuart Lind, Victreebel, louse
Liberty Von, Gyarados, fox
Marisha Breitenberg, Scyther, turtle 
Florencio Gerlach, Meowth, yellowjacket
Jani Harber, Machoke, cicada
Dr. Susana Zieme, Nidoking, hyena
Linda Dach, Electabuzz, worm
Gloria Bernhard III, Bulbasaur, chinchilla
Casey Senger DVM, Tangela, water buffalo
Haywood Von, Weedle, monkey
Dr. Arthur Nader, Aerodactyl, deer
Ms. Marissa Feeney, Victreebel, beetle
Sheba Russel, Vaporeon, alligator
Mikel DuBuque, Staryu, sheep
Donte Cremin, Ditto, leopard
Delmy O'Keefe, Moltres, raven
Alberto Parker, Charizard, monkey
Tora Lemke, Haunter, ox
Rosario Monahan, Zapdos, mallard
Hue Prosacco, Pidgey, water buffalo
Elisa Kessler I, Pidgey, horse
Doug Lebsack, Venomoth, gnat
Sheree Pouros, Ponyta, wolf
Lu Berge, Venusaur, wombat
Queen Boehm, Psyduck, goldfish
Dr. Liz Kris, Dragonite, spider
Max Kuhn, Ekans, porcupine
Samira Bins III, Tentacruel, salmon
Chas Cummerata Sr., Wigglytuff, cockroach
Freddy Walker, Metapod, herring
Verdie Monahan, Starmie, cricket
Katharine Metz, Drowzee, alpaca
Major Kunze, Kangaskhan, mallard
Miss Bernard Nicolas, Porygon, scorpion
Percy Nolan, Fearow, toad
Mario Konopelski, Ninetales, caribou
Juan Schoen, Clefairy, herring
Justin Effertz, Staryu, hare
