Sergio Kunze, Electabuzz, wasp
Crystle Casper III, Kadabra, jellyfish
Monroe Greenholt, Kabuto, platypus
Miss Glinda Oberbrunner, Chansey, elephant
Elmer Murphy DVM, Dratini, spider
Shenika Rosenbaum Jr., Golduck, pig
Mable Bartell Jr., Gengar, hamster
Miss Wilburn Kassulke, Meowth, kangaroo
Lenard Gleason, Eevee, muskrat
Xavier Lemke, Venomoth, gnu
Joana Kassulke, Venonat, cat
Earlie Blick, Onix, scorpion
Ellyn Torphy, Dewgong, termite
Myron Lubowitz, Ivysaur, chimpanzee
Nakisha Hodkiewicz, Flareon, fox
Ms. Porfirio Gislason, Slowbro, monkey
Bart Willms, Nidorino, butterfly
Laurence Bechtelar, Hitmonlee, prairie dog
Brice Kovacek, Spearow, dolphin
Laurene Feest, Clefairy, hare
Rolande Runte, Sandshrew, tiger
Cara Ledner, Lickitung, coyote
Roselee Hagenes, Machoke, goldfish
Mr. Manuel Jacobson, Blastoise, weasel
Armandina Lowe, Charmeleon, elephant
Sol Skiles, Gastly, jackal
Ruby Goyette III, Kakuna, alpaca
Melaine Zboncak, Weepinbell, prairie dog
Mike Stracke, Rhyhorn, ape
Mrs. Leia Altenwerth, Nidoran, koala
Bret Paucek, Gengar, wolf
Davis Little, Poliwhirl, beaver
Ricardo Sawayn II, Poliwhirl, spider
Mrs. Keneth Ebert, Gengar, raven
Sherron Heaney, Moltres, rabbit
Hai McGlynn, Tauros, grasshopper
Miss Noah Feeney, Pidgeot, porpoise
Daniela Smith, Hitmonlee, ape
Aurora Mann, Omastar, ferret
Erin Crooks, Venonat, sheep
Ludivina Carter, Magneton, hamster
Anthony Tremblay, Nidoran, hamster
Lucina Torp, Growlithe, alpaca
Mrs. Von Block, Caterpie, armadillo
Lynne Crooks, Ponyta, chimpanzee
Carry West, Mankey, goat
Ms. Sharmaine Collier, Jigglypuff, elk
Leandro Yost, Weedle, dolphin
Adrianna Wintheiser, Moltres, camel
Evita Ebert, Bellsprout, hound
