Ms. Sherman Parisian, Rhydon, cicada
Debera Ward, Geodude, monkey
Mr. Babara Marquardt, Snorlax, walrus
Elvis Kihn, Shellder, lizard
Tobie Mills, Caterpie, oyster
Mr. Courtney Langosh, Electrode, chimpanzee
Derick Baumbach, Parasect, cheetah
Mrs. Simon Hackett, Graveler, serval
Malik Graham, Mr. Mime, caribou
Leonel Cronin, Poliwag, whale
Dominique Hayes, Machoke, locust
Beata Feest, Zapdos, monkey
Mr. Ila Dietrich, Golem, louse
Chase Bins, Onix, serval
Rachele Abbott, Gyarados, locust
Miss Connie Mertz, Aerodactyl, rat
Margart Zboncak, Machamp, crab
Cherise Little Jr., Meowth, jackal
Alfred Hamill, Paras, swan
Ms. Lyndon Stehr, Clefable, clam
Markita Brakus, Wigglytuff, hamster
Bebe O'Conner, Dragonair, wombat
Harris Lindgren, Seaking, wallaby
Janeen Turner, Parasect, tiger
Agustin Jacobson, Paras, snake
Miss Hilary Schimmel, Mr. Mime, worm
Dr. Fabiola Grimes, Dugtrio, gnu
Sharan Towne, Slowbro, tiger
Delma Leannon, Nidoqueen, yellowjacket
Chris Kshlerin, Clefable, water buffalo
Cedric Spinka, Venonat, jellyfish
Chuck Parker, Omastar, salmon
Mrs. Giuseppe Gleason, Seadra, cod
Jamie Predovic DDS, Primeape, cat
Jimmy Ritchie, Poliwrath, spider
Nydia Crist Sr., Zapdos, sea lion
Jon McGlynn, Victreebel, tortoise
Gladis Macejkovic, Marowak, swan
Lanelle Bailey, Magmar, horse
Beula Marvin, Mankey, goldfish
Patricia Runte, Cubone, butterfly
Vaughn Lowe, Hypno, termite
Ivey Schaden, Pikachu, woodchuck
Latashia McKenzie, Kabutops, rat
Abdul Prosacco, Starmie, otter
Tracey Rohan, Articuno, mole
Sue Littel, Bulbasaur, worm
Arnoldo Kiehn, Clefairy, giraffe
Leanora Satterfield, Magnemite, crow
Hae Murray, Farfetch'd, hedgehog
