Ms. Max Macejkovic, Onix, goldfish
Ngan Anderson Jr., Beedrill, crocodile
Ivan Walker, Victreebel, worm
Ross Friesen, Ponyta, donkey
Dr. Timmy Spinka, Vulpix, wasp
Mr. Corrine Lockman, Flareon, elk
Mrs. Scottie Tremblay, Hitmonchan, swan
Ronni Torp, Voltorb, mule
Teri Little, Snorlax, rabbit
Demarcus Parker, Metapod, cricket
Treena Pacocha, Golbat, moose
Nick Smith, Dodrio, porcupine
Miss Jerrica Rowe, Nidorina, rabbit
Arletha D'Amore, Kabuto, alligator
Mr. Ivy Wunsch, Onix, chinchilla
Jacqueline Bahringer Jr., Jigglypuff, goose
Miss Saul Hagenes, Mr. Mime, sardine
Akilah Harvey, Aerodactyl, sheep
Verdie Stamm Jr., Goldeen, dinosaur
Jeanene Bernhard, Magikarp, leopard
Rudolph Gleichner, Metapod, lizard
Janine Beer, Weedle, cattle
Dr. Lucile Schroeder, Farfetch'd, pug
Dr. Shanda Goyette, Venusaur, dolphin
Isabel Hyatt, Magikarp, tiger
Melba Boehm, Rhyhorn, frog
Jame Waelchi, Hitmonlee, hamster
Angel Prosacco MD, Hypno, chimpanzee
Miyoko Moore, Alakazam, mule
Renna Cummings, Oddish, koala
Millard Gaylord, Magneton, deer
Dale Grant, Krabby, pig
Matha Schowalter, Horsea, koala
Hubert Prohaska, Rapidash, badger
Devon Bergnaum, Lickitung, monkey
Mr. Gale Haley, Primeape, shark
Dr. Steven Quigley, Pinsir, beetle
Wynell Gulgowski, Fearow, moose
Francis Macejkovic, Ninetales, gerbil
Mr. Lindsay Volkman, Mewtwo, antelope
Meri Gottlieb, Seadra, mallard
Cyrus Welch DDS, Tauros, toad
Mr. Daphne Becker, Pidgeot, mole
Clay Stanton, Psyduck, gnat
Margurite Johnston, Psyduck, llama
Hal Vandervort, Nidoran, panda
Emile Jacobs Jr., Beedrill, bee
Dr. Jaqueline Wiza, Cloyster, hornet
Marchelle Anderson, Ponyta, hamster
Lora Bednar, Dewgong, mammoth
