Karina Wolff, Dodrio, oyster
Ingeborg Adams, Shellder, wallaby
Demarcus Pacocha DVM, Graveler, caribou
Gerardo Roberts, Sandshrew, oyster
Glen DuBuque, Rattata, porpoise
Bernarda Weber Jr., Charmander, panda
Maryjo Jacobs, Marowak, eel
Omar Connelly, Rapidash, cicada
Mrs. Isidro Veum, Gastly, impala
Armand Kohler, Wigglytuff, turtle 
Dr. Daron Sipes, Poliwag, porcupine
Marge Grady, Pinsir, locust
Noel Collins III, Raticate, goldfish
Beverly Mertz, Sandslash, mammoth
Tomoko Bednar, Cubone, clam
Tarah Schaefer MD, Nidorino, oyster
Houston Collier, Machamp, eel
Preston Bins, Seaking, duck
Ms. Treva Oberbrunner, Kangaskhan, yak
Inger Kemmer, Venonat, alpaca
Dario Yundt, Dugtrio, marten
Henriette Schowalter, Zapdos, cod
Taneka Yost, Drowzee, goat
Sid Barrows, Vulpix, duck
Jarred Kris, Psyduck, gnu
Armanda Turner, Lickitung, turtle 
Junko Mosciski, Caterpie, marten
Angelo Kohler, Moltres, pug
Edgardo Hyatt, Gloom, chinchilla
Shayne Gusikowski, Kabuto, sheep
Hyon Monahan, Nidorino, macaw
Thomasina Kuhn III, Pidgey, termite
Bronwyn Stanton DVM, Charmander, cheetah
Alexia Grant, Wigglytuff, llama
Mr. Chae Paucek, Squirtle, jackal
Damon Borer, Hitmonchan, snail
Stepanie Kulas V, Kadabra, dog
Linnea Gleichner, Charmander, clam
Maira Mraz, Krabby, donkey
Jama Collier, Kingler, monkey
Chi McDermott Jr., Ninetales, hamster
Laine Gislason, Nidoran, scorpion
Kalyn Hagenes, Snorlax, hamster
Casey Mayert III, Magnemite, shark
Mrs. Ethan Considine, Articuno, impala
Sebrina McCullough, Kabuto, frog
Cayla Barrows, Grimer, llama
Prince Macejkovic, Fearow, hamster
Desmond Hirthe, Charizard, worm
Reuben Gerlach, Dragonair, camel
