Dr. Don Johns, Venonat, dolphin
Fritz Cummerata, Kingler, snail
Gil Schiller, Kakuna, pig
Miss Blanch Jacobi, Bulbasaur, dog
Brady Schiller Sr., Exeggutor, crow
Bo Sipes, Moltres, zebra
Mikki Fahey, Tauros, wildebeest
Dr. Dalton Reilly, Dugtrio, platypus
Renato Waelchi, Nidoran, raven
Jerrod Pfeffer, Porygon, panda
Darlena Bradtke, Koffing, jellyfish
Dr. Shana Berge, Spearow, fly
Mervin Lowe, Gyarados, wolf
Sharolyn Spencer, Kabutops, frog
Helen Fay, Farfetch'd, crocodile
Debbie Rolfson, Vileplume, chinchilla
Ranee Osinski, Venomoth, deer
Mr. Sallie Ondricka, Staryu, mosquito
Juli Stokes, Jigglypuff, mole
Richard Kassulke Jr., Nidoran, pig
Claris Gleason, Snorlax, cattle
Janice Gerlach, Venusaur, toad
Junior Turner, Metapod, snake
Mrs. Annamarie Schiller, Pikachu, grasshopper
Bernardina Hettinger, Poliwhirl, wallaby
Clarence Runolfsdottir, Drowzee, shark
Michaele Roberts, Tentacool, woodchuck
Reva Jaskolski, Machoke, muskrat
Mrs. Tim Little, Dewgong, elk
Herb Hills, Flareon, scorpion
Dinorah Kerluke, Kakuna, goat
Bret Stoltenberg, Gengar, llama
Clinton Bartoletti, Golbat, turtle 
Dr. Moises Adams, Blastoise, locust
Keeley Russel II, Snorlax, marten
Rob Feil, Poliwrath, herring
Yoko Dickinson, Articuno, zebra
Lindy Ledner, Gloom, termite
Shawn Kunde, Poliwhirl, pug
Mr. Katy Abernathy, Seadra, hound
Myrta Keebler PhD, Gloom, coyote
Ismael Wolff, Spearow, alligator
Fredric Bode, Spearow, cricket
Bennie Herman, Shellder, koala
Marline Abbott DVM, Geodude, koala
Jewell Oberbrunner, Weedle, tiger
Norman Mayer, Magikarp, gnat
Raleigh Quigley, Mewtwo, dolphin
Alfonso Stanton, Nidorino, gerbil
Hollis Schmidt, Dragonite, clam
