Leslee Tromp, Omastar, moose
Lupe Langworth, Bellsprout, dog
Mrs. Roland Hartmann, Gloom, mosquito
Ms. Fermin Parisian, Raichu, mammoth
Angelina Schimmel IV, Golem, coyote
Lola Johnson, Diglett, oyster
Ralph Feeney, Flareon, snail
Albert Murray, Scyther, koala
Miss Javier Rempel, Weezing, gerbil
Quintin Sporer, Nidoqueen, platypus
Coleman Feeney Jr., Koffing, beaver
Mrs. Ray Will, Primeape, elk
Farrah Carter, Golduck, duck
Bradford Dach, Rattata, tiger
Jerome Strosin, Mewtwo, badger
Giuseppe Halvorson, Goldeen, wildebeest
Cyrus Kshlerin, Hitmonchan, oyster
Denice McClure, Caterpie, pig
Danika Hamill, Wartortle, fly
Franklyn Goodwin, Exeggcute, butterfly
Trish Johnston, Raichu, coyote
Sheldon Botsford, Koffing, otter
Ralph Torphy, Rhydon, prairie dog
Dwayne Yost, Dewgong, locust
Ronald Harvey, Gastly, frog
Evia Lueilwitz, Arbok, wallaby
Eleanor Schoen, Raticate, raven
Moises Christiansen, Scyther, cod
Neida Weimann, Zapdos, fly
Rachael Leannon, Kabuto, spider
Jerome Reichert, Nidorino, deer
Booker Jacobs, Dodrio, porcupine
Antony Ebert, Dewgong, mole
Arlen Nolan, Venusaur, reindeer
Chu Walter, Eevee, gerbil
Allyn Brakus, Staryu, coyote
Victor Schoen, Shellder, mole
Derick Tillman, Chansey, herring
Rusty Zboncak, Shellder, hare
Ignacio Breitenberg, Charmander, sea lion
Mr. Glen Grady, Parasect, water buffalo
Jeanine Durgan, Cloyster, yellowjacket
Erasmo Sauer, Jigglypuff, jackal
Thurman Langworth, Rhydon, raccoon
Thaddeus Becker, Caterpie, ant
Ned Kiehn, Slowbro, worm
Patty Von, Oddish, cockroach
Sean Watsica, Spearow, beaver
Stephanie Koch, Shellder, beetle
Oliver Bernier, Pinsir, prairie dog
