Ozzie Witting DDS, Golem, yak
Mr. Ezekiel Denesik, Golduck, ox
Torri Pollich, Haunter, panda
Mr. Colby Bruen, Butterfree, llama
Teresia Kiehn MD, Kabutops, crocodile
Tyree Walsh, Kakuna, lion
King Ryan, Machamp, porcupine
Mr. Twyla Beier, Machamp, eel
Hiram Gleason, Electrode, shark
Kacy Kub DVM, Gloom, camel
Mr. Davis Upton, Metapod, cat
Tashina Macejkovic, Omanyte, guinea pig
Scott Russel MD, Ditto, alpaca
Jeffery Greenfelder, Metapod, raccoon
Dewey Howe, Marowak, duck
Ms. Andrew Beier, Rattata, donkey
Latisha Stroman, Ditto, mule
Shirley Powlowski, Magmar, water buffalo
Cammie Langosh, Kabuto, woodchuck
Penni Volkman DVM, Poliwrath, crab
Tony Carter, Snorlax, herring
Mrs. Lillie Corwin, Charmander, moose
Harlan Marks, Cubone, kangaroo
Moises Heathcote, Jolteon, locust
Miss Asha Leannon, Zapdos, cod
Leighann Koepp, Rhydon, gnat
Michal Larkin Jr., Electabuzz, dog
Son Will, Gyarados, fly
Dr. Rufus Howell, Dratini, porcupine
Mrs. Joe Koch, Golem, swan
Markus Walsh PhD, Vileplume, snake
Stefanie Lesch, Kabutops, grasshopper
Billie Purdy, Hitmonchan, hamster
Abram Mosciski, Rapidash, panda
Jeffry Lehner, Poliwrath, louse
Murray Witting, Vileplume, ape
Carol Schneider MD, Aerodactyl, alligator
Marvella Mosciski, Ditto, gnat
Kecia Pfeffer, Rapidash, antelope
Ms. Bennett Padberg, Jolteon, fish
Williams Ernser II, Hypno, turtle 
Scott Larkin, Gastly, ant
Cedrick Hauck, Tentacruel, shark
Nicky Sawayn, Alakazam, squirrel
Mark Jacobs, Moltres, alligator
Marlin Upton, Weezing, elk
Jarrett Yundt, Muk, rat
Maryland Grant IV, Chansey, chimpanzee
Hoa Grimes V, Gastly, clam
Jerome Leffler, Machop, tiger
