Jefferson Konopelski, Abra, gnat
Elwanda Kutch, Slowpoke, muskrat
Darin Runolfsdottir, Horsea, herring
Al Jacobs IV, Jolteon, seal
Merlene Will I, Vulpix, gerbil
Audria Leannon, Arcanine, dinosaur
Gema Trantow III, Caterpie, coyote
Corrie Bashirian, Nidoking, frog
Mr. Pattie Schiller, Magmar, reindeer
Blaine Steuber DDS, Caterpie, herring
Cristin Monahan, Haunter, guinea pig
Mr. Danyell Konopelski, Ekans, manatee
Eneida Berge II, Mankey, lizard
Loria Sauer PhD, Nidoking, chinchilla
Kazuko Gutmann Sr., Charizard, badger
Demetria Hackett Jr., Oddish, reindeer
Deon Wilderman, Dratini, moose
Frederic Gutkowski, Pikachu, yellowjacket
Linwood Klocko, Ninetales, chinchilla
Ned Wolf, Rattata, porpoise
Dwana Jaskolski, Grimer, pig
Leigh Halvorson III, Eevee, whale
Mrs. Anastacia Heidenreich, Kadabra, tiger
Wilburn Lockman, Articuno, donkey
Ms. Dorothy Nienow, Psyduck, gnu
Mrs. Sadye White, Growlithe, serval
Blake Keeling, Marowak, elephant
Dick Mertz, Scyther, alpaca
Alonzo Sipes, Growlithe, clam
Librada Cartwright, Persian, tiger
Francene Considine, Weedle, rhinoceros
Margit Abbott Sr., Machop, alligator
Mrs. Karyl Turcotte, Onix, louse
Felton Wyman, Nidoking, alpaca
Jacob Hills, Voltorb, caribou
Shirlee Effertz, Cubone, swan
Burton Toy, Mr. Mime, macaw
Willy Wuckert, Raticate, moose
Michael Cummings, Dragonite, weasel
Mrs. Katrice Fisher, Machamp, hippopotamus
Jung Koch, Flareon, zebra
Shelton Bins, Tentacruel, fox
Christoper Stroman, Kangaskhan, elephant
Mrs. Scot Moore, Blastoise, beaver
China Batz, Magikarp, mule
Dalia Johnson, Flareon, locust
Jina Crona PhD, Weezing, squirrel
Ms. Shawnna Reichel, Nidoran, fly
Eufemia Murray, Nidoran, goose
Detra Zemlak, Seaking, beetle
