Dr. Sarah Labadie, Arbok, badger
Trish Mante, Graveler, mammoth
Lynn Yundt, Machop, louse
Kaylene Ernser, Pidgey, jackal
Quintin Hagenes, Rhyhorn, llama
Jack McClure, Snorlax, coyote
Jarod Jaskolski, Dratini, beetle
Brett Kutch, Arbok, guinea pig
Boyd Bosco, Golduck, lion
Wally Hickle, Zubat, muskrat
Yahaira Frami, Raichu, turtle 
Antonio Lesch, Golem, chinchilla
Jena Kshlerin, Gyarados, deer
India Herman, Caterpie, scorpion
Carma Volkman, Arcanine, camel
Robby Turner, Tangela, wallaby
Dr. Zola Runte, Poliwhirl, guinea pig
Jospeh Upton II, Magikarp, reindeer
Mrs. Carmel Corwin, Victreebel, minnow
Bertram Bahringer, Ekans, frog
Mrs. Aretha Dickens, Kakuna, yellowjacket
Joe Bailey II, Pidgeotto, ferret
Sylvester Goodwin, Raichu, wildebeest
Bebe Abshire, Bellsprout, beetle
Moshe Nikolaus Sr., Tangela, ferret
Velva Leuschke, Voltorb, eagle
Lashonda Boyer, Arbok, hound
Miss Deneen Schaefer, Moltres, antelope
Caridad Witting Jr., Meowth, porcupine
Sandy Hyatt, Aerodactyl, wildebeest
Ms. Barton Goyette, Raticate, goat
Ms. Marissa Corwin, Shellder, monkey
Fairy Goldner, Charmeleon, raven
Tobias Schulist, Rattata, seal
Shan Jones III, Pikachu, macaw
Dayna Weissnat PhD, Venonat, tortoise
Rick Hintz, Gloom, mallard
Ms. Wilson Parisian, Kabutops, water buffalo
Davis Kemmer, Weezing, armadillo
Mr. Detra Krajcik, Voltorb, kangaroo
Abe Kreiger, Porygon, koala
Ms. Sammy Bauch, Omastar, eel
Stacie Stracke, Victreebel, louse
Deetta Schuppe, Horsea, beaver
Kindra Hamill, Caterpie, bee
Adan Dicki, Machop, muskrat
Sunshine Aufderhar, Charmander, fish
Mavis Pfannerstill Jr., Victreebel, yellowjacket
Davis Lockman, Dratini, toad
Ria Beahan II, Magneton, whale
