Sherita Lockman, Marowak, lizard
Elly Erdman, Farfetch'd, kangaroo
Dr. Willie Wuckert, Ivysaur, donkey
Broderick Kirlin, Arcanine, elephant
Alida Ledner, Snorlax, fox
Bernetta King, Primeape, woodchuck
Lashanda Kerluke, Weezing, baboon
Antoine Ullrich I, Meowth, koala
Miss Thad Wehner, Mr. Mime, koala
Rochelle Fadel, Golduck, jackal
Mr. Irish D'Amore, Jynx, beetle
Nana Thompson V, Parasect, cheetah
Felisha Schneider MD, Haunter, seal
Ms. Coletta Green, Haunter, ant
Ms. Windy Terry, Kingler, turtle 
Hai Bernhard, Mr. Mime, beaver
Noelle Wiegand, Grimer, hamster
Vicente Huels, Dragonair, llama
Johnson Tremblay V, Electrode, yellowjacket
Gabriel Mayert, Hitmonchan, hare
Ashton Johnston, Marowak, yak
Brenna Cronin, Rapidash, bee
Candelaria Christiansen V, Hitmonlee, toad
Rueben Hintz, Doduo, wasp
Reed Collier, Tangela, gnu
Mr. Angelique Friesen, Haunter, ox
Flossie Hermann, Mewtwo, herring
Charles Shields, Ivysaur, yak
Mrs. Robbie Wisozk, Electrode, clam
Akiko Dickens, Weepinbell, herring
Vernia Goodwin IV, Weezing, chinchilla
Erminia Stokes, Vileplume, cricket
Jeffrey Gerhold DVM, Dodrio, alpaca
Lucio Yost, Golduck, jackal
Malissa Kohler, Hypno, tiger
Jeromy Sawayn II, Weedle, gnat
Dr. Carleen Schumm, Pikachu, eagle
Colin Littel, Magnemite, cattle
Cornelius Braun DVM, Haunter, sheep
Glenn Gibson, Charizard, toad
Ulysses Jones, Arcanine, chinchilla
Marlon Morissette DDS, Golduck, scorpion
Marcelino Farrell, Moltres, dinosaur
Sal Senger, Gengar, sea lion
Shayne Shanahan, Exeggcute, beaver
Wm Wiza, Nidoqueen, manatee
Mr. Terrence Rau, Farfetch'd, sheep
Jacinto Emard, Tauros, mallard
Quinn Lynch, Ditto, mallard
Samira Hansen, Eevee, crow
