Rayford Labadie, Doduo, jackal
Kandi Bauch, Nidorino, spider
Freddie Abshire, Muk, shark
Thomas Denesik Sr., Rapidash, spider
Mrs. Joane Grimes, Magnemite, crow
Frank Effertz, Starmie, cicada
Pasquale Denesik, Pidgey, weasel
Jonas Spencer, Eevee, eagle
Raylene Wisozk, Shellder, grasshopper
Devin Pouros, Rattata, gorilla
Jamar King PhD, Charmander, snail
Cordell McDermott, Abra, worm
Joanie Spencer, Weedle, mink
Cristine Crist, Starmie, cockroach
Ms. Franchesca Rice, Grimer, pig
Dr. Ulysses Koch, Horsea, dog
Kathryn Kerluke, Haunter, goldfish
Alex Stehr II, Venomoth, hippopotamus
Shannon Rogahn, Rhydon, llama
Randy O'Reilly, Kabuto, wallaby
Ira Jacobson, Rattata, snake
Piper Leannon, Venomoth, clam
Quintin Aufderhar, Kangaskhan, squirrel
Clemente Buckridge, Dugtrio, fly
Pearly Nicolas, Wartortle, fish
Randa Ferry, Jigglypuff, fly
Julian Kling, Poliwag, bat
Frankie Nader DDS, Golem, serval
Cleo Kunde, Poliwhirl, fly
Shayne Mosciski, Blastoise, cod
Tora Skiles, Moltres, whale
Rickie Lakin, Abra, porcupine
Sulema McDermott, Poliwag, prairie dog
Sam Strosin II, Electabuzz, buffalo
Joanie Spencer, Seadra, oyster
Florinda Reynolds, Seel, scorpion
Julian Kessler, Gyarados, hedgehog
Casey Kiehn, Charmander, chimpanzee
Edwardo Dooley, Arcanine, reindeer
Claudette Rice DDS, Charizard, cattle
Jennell Casper, Aerodactyl, water buffalo
Rachell Lehner, Venusaur, tortoise
Luther Bernier IV, Machop, clam
Georgianna Will, Flareon, zebra
Shayne Fadel, Poliwrath, salmon
Timmy Haley, Cubone, fish
Norene Bernhard, Pikachu, platypus
Reynaldo Kunde, Fearow, goose
Robby Buckridge, Raichu, termite
Jefferey Rutherford Jr., Tentacool, locust
