Marti Bernier, Charizard, ape
Holly Cormier, Weedle, beaver
Joe Pagac, Voltorb, pug
Norris Torphy, Horsea, dog
Shirley West DDS, Cloyster, kangaroo
Dr. Kira Schmidt, Nidoran, ant
Dominic Jones, Arcanine, alligator
Randolph Hermiston, Nidoran, hippopotamus
Dulcie Lockman I, Magnemite, sheep
Elizbeth O'Hara, Caterpie, fox
Isaias Waters, Seaking, turtle 
Elidia McGlynn IV, Psyduck, snail
Terresa Hintz, Jynx, locust
Carol Heller, Hypno, dolphin
Kandis Streich, Venomoth, macaw
Meredith Wisozk, Alakazam, snake
Miss Eloy Rath, Sandshrew, goat
Ms. Carey Altenwerth, Poliwhirl, skunk
Sol Graham, Hypno, duck
Brant Hamill, Tauros, wasp
Mitch Schmitt, Gastly, alpaca
Joe Metz, Weezing, snail
Robbi Hayes, Kakuna, mallard
Delfina Spencer, Lapras, walrus
Lakesha Stiedemann, Exeggcute, manatee
Mrs. Abraham Gerlach, Exeggcute, eel
Alla Smith, Venonat, lizard
Delmar Stanton, Kabutops, pug
Hong Lehner, Kabutops, badger
Mrs. Rashida Parisian, Mewtwo, tortoise
Andrea Blanda, Poliwhirl, rat
Parker Smitham, Drowzee, tiger
Tyler Adams, Magnemite, turtle 
Lauran Ruecker MD, Seaking, trout
Ms. Riley Herzog, Cubone, crocodile
Zana Cormier, Voltorb, mink
Mercedes Lehner, Seel, beetle
Jocelyn Gerlach, Cloyster, toad
Myles Harvey, Tentacool, mouse
Lanette Roberts MD, Omastar, dolphin
Velvet Emmerich, Drowzee, porpoise
Valentine DuBuque, Beedrill, gerbil
Maudie Upton, Omanyte, hare
Meagan Rau MD, Flareon, jellyfish
Alonzo McKenzie, Scyther, muskrat
Cordia Jaskolski, Nidoking, panda
Alena Glover, Jigglypuff, beaver
Graham Blanda, Fearow, louse
Elliott Toy, Zubat, manatee
Tammera Harvey DVM, Primeape, wolf
