Miguel Franecki, Gengar, raven
Jaquelyn O'Hara, Venonat, macaw
Henry Little, Arcanine, alpaca
Dr. Wm Corkery, Raticate, mosquito
Dr. Anamaria Nikolaus, Articuno, bat
Alyson Schinner, Electabuzz, rabbit
Trudie Brown, Moltres, deer
Noble Bernier, Jolteon, whale
Major Friesen, Rhyhorn, snail
Marcelina Schowalter, Poliwag, cod
Mrs. Beryl Bogan, Jynx, elephant
Alona Boehm, Seaking, walrus
Lane Greenfelder, Vileplume, locust
Dr. Yolande Bernhard, Goldeen, bee
Beryl Vandervort II, Fearow, impala
Monroe Jacobson, Machamp, tortoise
Delpha Thiel, Ekans, worm
Dario Reichert, Meowth, tortoise
Jonathan Brakus DVM, Haunter, cockroach
Kari Rath II, Rapidash, swan
Jonah Torphy, Raichu, hound
Brock Lakin, Bellsprout, louse
Fay Goyette, Electrode, wallaby
Chantal Waters V, Fearow, impala
Charity Halvorson, Parasect, grasshopper
Mrs. Desiree Thiel, Growlithe, trout
Milan Ankunding, Charmander, ox
Brant Leuschke IV, Kadabra, rhinoceros
Amber McClure, Bellsprout, crocodile
Mrs. Enid Wintheiser, Machoke, marten
Burton Berge, Wigglytuff, bat
Lynn Kub MD, Lapras, ant
Catherin Ziemann V, Golduck, ape
Miss Stuart Hahn, Rapidash, armadillo
Miss Elmo Kovacek, Weedle, goose
Caitlyn Bechtelar V, Kabutops, antelope
Eugene Howell, Magikarp, ferret
Abbie Robel, Vileplume, cod
Porter Fisher, Muk, chimpanzee
Carolyn Sporer Sr., Nidorino, macaw
Roosevelt Nitzsche, Bulbasaur, rhinoceros
Blake Brekke DVM, Parasect, kangaroo
Delsie Stokes, Sandslash, ant
Edwardo Conroy, Jynx, badger
Vanesa Keeling, Metapod, cheetah
Vernice Mann, Horsea, turtle 
Venetta Predovic, Seel, gnat
Edmund Schaefer, Tentacool, gorilla
Agripina Cummings V, Grimer, water buffalo
Heidy Mayer IV, Bulbasaur, wallaby
