Berniece Huel, Metapod, cattle
Sung Bartoletti, Eevee, elk
Adam Spencer, Doduo, fish
Trinh Howe, Rapidash, walrus
Paris Heller Sr., Venonat, buffalo
Dr. Ronnie Krajcik, Kakuna, tortoise
Dorsey Ritchie, Omastar, bear
Venetta Wehner, Magikarp, prairie dog
Rhona DuBuque, Starmie, dolphin
Valentin Simonis, Kabutops, locust
Isaiah Bashirian PhD, Tangela, walrus
January Hauck Jr., Metapod, elk
Andre Fay, Lickitung, muskrat
Su Swaniawski, Dugtrio, duck
Syble Windler, Gastly, porcupine
Tamar Schimmel, Squirtle, tiger
Georgina Schuppe V, Nidorina, mouse
Miss Kimber Murazik, Tauros, cicada
Mervin Hoppe, Doduo, snake
Shiloh Conn, Ponyta, jellyfish
Miss Alejandrina Hoeger, Seel, cheetah
Odis Quitzon III, Nidoking, wallaby
Buster Leffler, Gloom, worm
Dr. Merrie Schneider, Magmar, weasel
Trang Ritchie, Metapod, dinosaur
Virgilio Franecki DVM, Dragonair, donkey
Luna Deckow, Moltres, horse
Mrs. Gita Rippin, Mewtwo, toad
Federico Schultz, Beedrill, wildebeest
Miss Alex Cremin, Magmar, ape
Stan Ernser, Machop, pug
Roosevelt Murphy, Clefable, lizard
Myles Willms, Vaporeon, tiger
Seymour Muller II, Pidgeotto, beaver
Mr. Gayle Schultz, Beedrill, mule
Elliott Schroeder, Ninetales, fox
Denis Vandervort, Pinsir, chimpanzee
Alice Botsford, Blastoise, snail
Francis Gleichner, Staryu, tortoise
Willian Kutch, Clefable, coyote
Cecille Parisian, Electrode, cattle
Miss Krista Wilderman, Venomoth, macaw
Adria Parisian, Dratini, porpoise
Hollis Denesik, Machamp, shark
Keely Hilpert, Poliwag, macaw
Sol Wehner DVM, Sandshrew, spider
Keli Medhurst, Electrode, wasp
Dwight Bechtelar DVM, Kadabra, antelope
Dr. Adele Smith, Slowbro, antelope
Erwin Kemmer II, Beedrill, sea lion
