Renata Miller, Oddish, beaver
Mr. Azzie Conroy, Psyduck, jellyfish
Clyde Pouros, Rapidash, marten
Sharonda Ledner, Wartortle, manatee
Keely Hermann IV, Psyduck, grasshopper
Dale Blanda, Goldeen, fox
Elbert Schulist, Paras, lion
Mr. Cordie Abbott, Pidgeotto, woodchuck
Agustin Wiegand, Mewtwo, wombat
Kip Monahan, Beedrill, koala
Nan Luettgen, Raticate, seal
Nicholas Leannon, Magmar, camel
Nidia Pollich DVM, Zubat, serval
Deane Abernathy, Mewtwo, shark
Jazmin Gulgowski, Kingler, beetle
Natosha Strosin, Lickitung, hippopotamus
Diana Hackett, Psyduck, pig
Georgetta Muller, Beedrill, crow
Nila Bergstrom, Geodude, water buffalo
Ralph Beahan, Mr. Mime, turtle 
Linwood Ritchie Sr., Poliwrath, elk
Raeann Gleason, Lapras, caribou
Jani Paucek, Magikarp, badger
Tommie Gutmann, Muk, muskrat
Yung Nienow, Vileplume, mammoth
Ambrose Bartell, Poliwhirl, mammoth
Theo Moore V, Dugtrio, chimpanzee
Margarito O'Connell, Gloom, butterfly
Gussie Ritchie, Exeggutor, elephant
Noble Brakus, Electrode, clam
Alejandrina Monahan Sr., Tentacruel, wasp
Rosina Beier Jr., Alakazam, minnow
Mrs. Maryanne Goldner, Poliwhirl, cheetah
Jayson Hudson, Oddish, cricket
Ms. Marissa Haag, Electabuzz, hippopotamus
Jessie Berge, Geodude, macaw
Ramonita Brakus V, Arcanine, mosquito
Nickolas Ferry, Sandshrew, wallaby
Sherman Denesik, Arbok, hippopotamus
Antwan Wuckert, Zapdos, hare
Ignacio Collins, Sandshrew, gnu
Shane Wiegand, Ponyta, beetle
Maryrose Metz, Machoke, moose
Newton Christiansen, Nidorino, scorpion
Mrs. Hortencia Altenwerth, Oddish, hyena
Henry Lesch, Golduck, mule
Brenda Barton, Kingler, raccoon
Merlyn MacGyver, Magneton, horse
Avery Torp, Shellder, armadillo
Efren Zulauf I, Growlithe, raccoon
