Efrain Bosco, Zubat, crocodile
Michell Konopelski, Kadabra, wombat
Nicholas Reinger V, Sandslash, ant
Rey Larson, Omastar, cheetah
Verlie Altenwerth, Flareon, impala
Chantal Price, Magikarp, yak
Lennie Towne, Tangela, pig
Miss Deb Ernser, Rhyhorn, deer
Leta Collins, Sandslash, giraffe
Hugh Kunde, Venomoth, donkey
Mrs. Lurline Powlowski, Charizard, mouse
Ms. Beckie Franecki, Rattata, snail
Young Yundt, Charizard, cod
Miss Lawrence Langosh, Machamp, hamster
Nelson Littel, Dratini, horse
Alexa Beier, Blastoise, muskrat
Raymon Gleichner, Raticate, cat
Yuki Cormier, Charmander, turtle 
Jaime Leuschke, Fearow, wildebeest
Dr. Thurman Powlowski, Muk, ape
Mr. Pamela Hermann, Nidoking, worm
Mr. Colin Casper, Golbat, cat
Miss Marianne Gibson, Kakuna, deer
Rodrick Ziemann, Victreebel, grasshopper
Lon Hills, Machoke, muskrat
Maximo Schuster, Farfetch'd, donkey
Kelly Kohler, Shellder, turtle 
Kasey Ledner, Arbok, donkey
Dewitt Kuhlman, Beedrill, muskrat
Jack Cruickshank, Mankey, badger
Ms. Nada Fahey, Oddish, otter
Samuel Harvey, Primeape, otter
Leon Donnelly, Chansey, prairie dog
Antonia Langworth, Moltres, impala
Ms. Garrett Senger, Blastoise, jackal
Eldon Block, Kangaskhan, hamster
Robt Wintheiser, Rapidash, turtle 
Dr. Phillip Bogisich, Oddish, herring
Maximo Johnson III, Seaking, sheep
Vernita Prohaska, Voltorb, platypus
Chi Schmidt, Articuno, donkey
Dale Heller, Wartortle, minnow
Rodney Becker, Shellder, marten
Mr. Bethany White, Alakazam, zebra
Felton Luettgen, Kingler, jackal
Daniele Anderson, Persian, muskrat
Violette Heaney Sr., Metapod, wombat
Dr. Jesusita Shields, Pidgeot, jellyfish
Emerald Emmerich, Tangela, rat
Miss Antoine Corwin, Exeggutor, locust
