Dante Wyman, Kangaskhan, cockroach
Dr. Abdul O'Conner, Parasect, manatee
Pandora O'Connell, Poliwag, gnu
Mr. Xochitl Howell, Pikachu, elk
Jed Corwin DDS, Zapdos, ape
Jena Hayes, Tangela, tortoise
Mrs. Lorelei Predovic, Fearow, dinosaur
Ophelia Gibson Sr., Raticate, chinchilla
Marc Boehm, Zapdos, worm
Duane Funk, Magikarp, worm
Cornelia Cartwright, Nidorina, jellyfish
Farah Kirlin, Venonat, mole
Omer Nikolaus, Jolteon, impala
Terry Mosciski III, Seaking, beaver
Mr. Noe Gulgowski, Psyduck, moose
Henriette Smith, Poliwag, lion
Miss Bruna Spencer, Charmander, alpaca
Willis Dickens, Vulpix, dog
Elwood Torp, Arbok, cheetah
Marquis Feest, Machamp, pug
Sergio Hane, Lickitung, fox
Tatyana Wolff, Poliwhirl, ox
Barbra Bradtke, Hypno, crab
Mrs. Gilma Zemlak, Vaporeon, worm
Mrs. Laurice Bayer, Onix, hamster
Rolf Kutch, Gyarados, serval
Laurence Ryan, Electabuzz, wolf
Rickey Nienow, Flareon, manatee
Jordan Mohr, Growlithe, rhinoceros
Rosanna Feil, Shellder, platypus
Simona Hoeger, Dugtrio, fly
Miss Lana Jerde, Abra, prairie dog
Miss Clinton Mohr, Clefable, porcupine
Agustina Schroeder, Krabby, mosquito
Verlie Kreiger, Grimer, ox
Ms. Chad D'Amore, Charmeleon, locust
Basil Wyman, Abra, gorilla
Beulah Heathcote, Gloom, goat
Mr. Palmer Kihn, Dragonite, herring
Randi Schultz, Nidorino, goldfish
Christoper Kemmer, Doduo, manatee
Miss Hortencia Kovacek, Seaking, walrus
Chung O'Connell, Gloom, rhinoceros
Serina Haag, Kadabra, koala
Freeman Block, Omastar, mink
Miss Sarai Hermiston, Persian, seal
Kathrine Kozey, Chansey, gorilla
Randell Schulist, Poliwhirl, bear
Chance Walsh, Pidgeotto, chimpanzee
Britt Shanahan, Graveler, hedgehog
