Jeni Oberbrunner, Scyther, goose
Fred Walsh, Chansey, elephant
Milan Gleichner DDS, Dugtrio, elephant
Porsha Medhurst, Drowzee, toad
Miss Casey Huel, Golduck, snake
Mohamed Schaefer, Jigglypuff, herring
Mrs. Arlette Stanton, Raticate, goldfish
Perla Shanahan, Aerodactyl, termite
Gale Hilll, Metapod, snail
Aleisha Lindgren, Golbat, crab
Cindie Greenholt, Sandshrew, butterfly
Dorian Mitchell, Rapidash, armadillo
Terence Franecki, Jolteon, wildebeest
Martin Abbott, Bulbasaur, mouse
Marlon Marvin, Pikachu, hare
Kurt Strosin, Omanyte, mole
Jacques Wehner, Wartortle, raven
Kevin Walsh, Bulbasaur, clam
Bula Braun IV, Rapidash, deer
Casandra Kemmer, Lickitung, jackal
Maria Price, Ekans, crocodile
Katrina Lubowitz, Dewgong, bee
Ronny Raynor, Magneton, locust
Rozanne Luettgen DVM, Seaking, clam
Nikia Schulist, Machoke, tortoise
Adelia Rosenbaum, Electabuzz, antelope
Seema Hane, Grimer, bee
Ms. Venita Hickle, Magnemite, ape
Wilmer Shanahan, Magneton, raven
Cristy Daniel, Wartortle, yellowjacket
Jeremy Beahan Jr., Golbat, locust
Gail Olson, Lickitung, caribou
Lani Weimann V, Voltorb, ant
Rosalee Schuster, Magikarp, locust
Dee Kiehn, Pidgeotto, hedgehog
Velvet Veum, Slowbro, mole
Virgil Monahan III, Cubone, walrus
Dr. Neal Turner, Persian, muskrat
Claudio Lemke, Persian, fly
Harland Schulist IV, Dragonair, turtle 
Kimiko Spinka, Fearow, rabbit
Machelle Bailey, Venomoth, crow
Columbus Fay, Ivysaur, fox
German West, Vulpix, dolphin
Leland McLaughlin III, Rapidash, pug
Tomeka Hirthe MD, Magikarp, elk
Lance Murazik, Nidoking, elephant
Mrs. Lakeisha D'Amore, Weepinbell, toad
Hobert Krajcik, Dugtrio, gnu
Jerrica Lockman, Weezing, grasshopper
