Britt Fay, Weepinbell, beetle
Dr. Athena Bartoletti, Mr. Mime, gnat
Antoine Beer, Lickitung, badger
Barb Pfannerstill, Ditto, zebra
Trey Blanda, Ivysaur, goose
Keenan Thiel, Poliwhirl, mole
Elma Hartmann, Goldeen, giraffe
Nell Lubowitz IV, Venusaur, impala
Deb McLaughlin, Lapras, otter
Lorri Hane, Articuno, louse
Terence Davis, Aerodactyl, seal
Tyson Hauck, Grimer, goldfish
Bernardine Walsh, Exeggcute, chimpanzee
Felecia Kshlerin, Meowth, wolf
Cecille Williamson, Electrode, mallard
Eldon Hilpert, Haunter, elephant
Adell Wintheiser, Muk, impala
Dr. Shandra Lind, Haunter, herring
Mose Schmitt, Tauros, salmon
Mitzi Gislason, Jynx, dinosaur
Donovan Ruecker, Nidoran, lizard
Eldora Ledner, Porygon, cicada
Dr. Mitsue Lakin, Staryu, raven
Candie Connelly IV, Pinsir, mammoth
Vada Hoppe, Dragonair, guinea pig
Miss Tawana Monahan, Marowak, macaw
Mrs. Gino Brown, Cubone, rat
Miss Shelby Purdy, Staryu, panda
Mrs. Mabel O'Connell, Ditto, raccoon
Marlon Langworth IV, Omanyte, crow
Alease O'Hara DDS, Hypno, lion
Emmett Muller, Wigglytuff, rhinoceros
Toby Ondricka, Gastly, wolf
Dr. Regenia Corwin, Nidorina, wasp
Vaughn Blanda, Nidoqueen, dolphin
Tiffaney Koepp, Ekans, ant
Mr. Jerald Denesik, Lapras, rat
Quincy Treutel, Poliwhirl, hornet
Trent DuBuque, Rhyhorn, woodchuck
Janel Erdman, Omastar, herring
Meghann D'Amore, Abra, goldfish
Belia Marks, Kingler, mallard
Dr. Kendrick Jenkins, Abra, eel
Mr. Cassey Jones, Gastly, coyote
Agnus Schowalter, Kakuna, worm
Catarina Cormier, Beedrill, macaw
Adina Wyman, Sandslash, swan
Wesley Gulgowski, Ponyta, tortoise
Ms. Alleen King, Venusaur, duck
Miss Tessa Reichel, Dragonite, herring
