Dr. Elisha Gibson, Drowzee, camel
Renata White, Muk, bear
Mr. Terrance Langworth, Graveler, mammoth
Dante Barton, Charmander, locust
Dani Johnston, Arcanine, bat
Lorenzo Tillman, Persian, hound
Marianne Carter IV, Alakazam, fish
Jake Pagac, Ditto, impala
Versie Conroy, Nidoran, cheetah
Ms. Nidia Lehner, Jolteon, donkey
Genia Lehner, Mankey, frog
Lawanna Baumbach, Arbok, horse
Cesar Hoeger, Dragonite, serval
Mariel Moen, Magmar, raccoon
Emanuel Kshlerin, Horsea, water buffalo
Colton Feest, Nidorino, mallard
Tom Jakubowski II, Koffing, pug
Dr. Rolland Wintheiser, Butterfree, yellowjacket
Florentino Corkery, Golduck, chinchilla
Hilary Bode, Bulbasaur, manatee
Annetta McLaughlin, Abra, yak
Mrs. Jesenia Collier, Spearow, eagle
Dr. Jetta Ledner, Vulpix, scorpion
Bernarda Koelpin, Dugtrio, sheep
Ricardo Hessel, Machamp, elk
Amelia Simonis, Nidoqueen, skunk
Carson Lockman DDS, Koffing, pig
Mauro Emmerich, Gastly, raccoon
Ms. Natacha Pollich, Magneton, crab
Dr. June Steuber, Nidoran, caribou
Paul Fadel, Bulbasaur, fish
Karl Stamm, Eevee, frog
Damon Kerluke III, Rattata, cricket
Crysta Krajcik, Diglett, turtle 
Mr. Francesco Hodkiewicz, Omanyte, macaw
Carola Parisian, Butterfree, fox
Miss Dominick Turner, Meowth, goose
Eduardo Kilback, Abra, swan
Miss Jamaal Rolfson, Nidoking, sea lion
Venice Luettgen, Ivysaur, ox
Daria McKenzie, Weepinbell, grasshopper
Coleman Balistreri, Beedrill, seal
Val McClure II, Tangela, horse
Dr. Elmer Collier, Raichu, ox
Robert Bailey, Abra, jackal
Sena Konopelski, Fearow, toad
Dr. Edmund Carter, Drowzee, wombat
Arthur Kreiger, Vileplume, deer
Dinah Strosin, Machoke, goldfish
Ruben Langworth PhD, Venomoth, antelope
