Andre Will, Psyduck, horse
Janeen Macejkovic, Jigglypuff, worm
Julio Parisian Sr., Rhydon, serval
Mrs. Fidelia Harber, Krabby, goose
Tiara Walker, Butterfree, seal
Earlie Hyatt, Scyther, koala
Justin Goodwin, Beedrill, horse
Dong Harber, Fearow, giraffe
Issac Kovacek, Victreebel, bear
Amos Cassin, Arbok, spider
Miss Vida Williamson, Poliwhirl, water buffalo
Darwin Sawayn, Machamp, mink
Rubye Hessel, Charizard, wasp
Adam Abbott I, Nidoking, yellowjacket
Mr. Linnea Volkman, Geodude, marten
Dodie Hettinger, Goldeen, bear
Ms. Jesus Ankunding, Rhyhorn, mole
Robbin Stiedemann, Electabuzz, mink
Dr. Brigette Auer, Koffing, tiger
Roger Sanford, Seaking, prairie dog
Augustine Leannon, Lickitung, oyster
Juanita Mitchell, Caterpie, ape
Nickolas Bednar, Rhydon, sheep
Luz Ortiz, Beedrill, frog
Burt Schneider, Tangela, cattle
Isis Kuhic, Seaking, porpoise
Mrs. Muoi Kuhic, Seadra, bee
Mrs. Tyler Schowalter, Scyther, prairie dog
Lucy Waters, Nidoqueen, snake
Mandy Bruen, Gyarados, termite
Domenic Treutel, Dragonair, ferret
Jed Fisher, Bulbasaur, bee
Julienne Robel Sr., Raticate, donkey
Normand Lubowitz, Spearow, impala
Cindi Hoppe Sr., Weezing, tortoise
Glynda Pouros, Ninetales, fox
Miss Rosalina Kassulke, Cloyster, raccoon
Dwayne Pfannerstill, Bulbasaur, goat
Edmundo Adams, Nidorina, yak
Van Towne, Caterpie, leopard
Catarina Herman, Muk, ant
Miss Ehtel Mante, Oddish, fish
Mr. Leeann Grady, Charmander, lion
Elvia Kunde, Tauros, cat
Tanna Konopelski, Ponyta, wasp
Wayne Labadie, Squirtle, seal
David Gorczany, Squirtle, porcupine
Caleb Maggio, Voltorb, herring
Jody Glover, Slowpoke, llama
Miss Mozelle Keeling, Blastoise, goat
