Wm Yundt, Tentacruel, prairie dog
Jerry Borer, Sandslash, raccoon
Miss Vicente Greenfelder, Victreebel, duck
Jeremy Beier I, Exeggutor, cockroach
Mitch Hermiston III, Weedle, goose
Fabian Kovacek, Victreebel, giraffe
Kaylee Torphy, Wartortle, badger
Mr. Pamala McDermott, Farfetch'd, porcupine
Anibal Marquardt, Voltorb, alligator
Ruben Blanda, Cloyster, oyster
Theda Altenwerth, Dugtrio, weasel
Sherrell Klocko, Tauros, frog
Jimmie Dibbert Sr., Venonat, gerbil
Karon Corwin, Magikarp, louse
Corinne Okuneva, Paras, louse
Mr. Claude Fahey, Magnemite, sardine
Tisha Wilkinson, Venomoth, macaw
Elbert Kutch, Ekans, bear
Luis McLaughlin, Charizard, bear
Sherie Schinner, Raticate, leopard
Joelle Kirlin, Rattata, rat
Roselle Abernathy Sr., Pidgeot, gnat
Theda Brakus Jr., Farfetch'd, buffalo
Michael VonRueden, Bulbasaur, mole
Nichol Stokes, Dewgong, badger
Rufus Green, Haunter, oyster
Markita Mertz, Magneton, mole
Zachariah Waters, Magikarp, chimpanzee
Raymon Hermann Sr., Kingler, mule
Verna Howell, Weepinbell, fox
Harold Emard, Gastly, wombat
Mozell Lakin, Golbat, porcupine
Arlie Wunsch, Staryu, ape
Val O'Reilly, Kakuna, deer
Latisha Hessel, Pidgeot, marten
Nita Kutch, Porygon, minnow
Dolores Hane, Pinsir, cockroach
King Gerlach, Nidoking, goose
Kirstie Kshlerin, Marowak, weasel
Carey McCullough Sr., Starmie, fish
Lincoln Okuneva, Nidoran, bee
Adena Stracke PhD, Venomoth, cricket
Calandra Harvey, Golem, donkey
Kyla Wiza, Golduck, ox
Victor Mertz, Rattata, ant
Nicki Heller, Kabutops, ox
Michale Bechtelar, Charizard, cattle
Tova Jaskolski, Primeape, marten
Kip Jast, Magmar, ape
Shelton Gutkowski, Dugtrio, eagle
