Kylie Rau, Eevee, turtle 
Elisha Baumbach I, Pidgey, minnow
Deloise Kuhlman, Pinsir, gnat
Alton Jast, Growlithe, cod
Lorean Aufderhar, Lapras, fish
Ernestina Bins, Vulpix, hamster
Phebe Klein, Persian, wildebeest
Junko Bogisich, Dugtrio, bat
Hans Rowe, Kangaskhan, impala
Jerilyn Emmerich, Caterpie, dog
Armando Hamill, Rapidash, gerbil
Rodolfo Ortiz, Venonat, koala
Kent Davis, Kingler, elephant
Ginette Lesch DDS, Golbat, jellyfish
Darwin Breitenberg, Raichu, otter
Rayna Trantow, Meowth, clam
Merrill Stokes, Beedrill, gerbil
Dr. Violeta Feest, Parasect, horse
Maxwell Kerluke, Farfetch'd, fox
Gidget Will, Abra, yak
Charmain Cartwright, Growlithe, woodchuck
Laureen Durgan, Zubat, monkey
Garfield Kunze DVM, Arcanine, rhinoceros
Ervin Will, Exeggutor, dinosaur
Mr. Alex Bauch, Spearow, wolf
Tad Farrell, Voltorb, wallaby
Mrs. Belva Lehner, Sandshrew, goose
Frank Brakus, Vulpix, elk
Ozzie Fadel, Magnemite, ape
Miss Monty Lockman, Mr. Mime, skunk
Pete Powlowski PhD, Chansey, badger
Leigh Jacobson, Eevee, fox
Micah Lindgren, Krabby, cod
Valentine Pfeffer, Wigglytuff, ox
Devona Beatty, Farfetch'd, llama
Peter Hills MD, Mankey, lizard
Darnell Bernier, Staryu, baboon
Season Crooks, Articuno, raven
Shiloh MacGyver, Kabuto, minnow
Mrs. Dianna Wehner, Wigglytuff, chimpanzee
Ms. Earl Stracke, Onix, mole
Earl VonRueden, Jynx, wombat
Dr. Hollis Boehm, Nidorina, ox
Ms. Cassondra Dibbert, Electrode, goat
Buford Monahan, Squirtle, squirrel
Walker Pacocha V, Magmar, koala
Kelley Davis, Aerodactyl, goat
Ernest Quitzon, Charmander, ox
Kathi Ratke, Blastoise, badger
Stephan Wintheiser, Sandslash, beetle
