Bridget Streich, Sandshrew, marten
Kelley Johns, Electrode, minnow
Clay Altenwerth, Hitmonchan, scorpion
Xavier Barrows DDS, Weepinbell, eel
Ray Boehm, Pidgeot, goldfish
Rhiannon Ernser, Kingler, moose
Leroy Brekke, Gloom, serval
Renetta Swift Sr., Diglett, ape
Miss Shanon Hahn, Gastly, yellowjacket
Mickey Macejkovic, Golem, herring
Franklyn Kuhic, Sandslash, goose
Ms. Nicolle Bechtelar, Vulpix, hippopotamus
Alyson Lockman, Raichu, dolphin
Patrick Kemmer Sr., Beedrill, bat
Ezra Carter DDS, Poliwrath, toad
Elly Boehm, Krabby, hippopotamus
Jona Bartell, Weedle, kangaroo
Shane Murphy I, Poliwhirl, caribou
Ed Zboncak, Paras, skunk
Billy Bogan, Mew, tortoise
Ja Fisher, Raticate, swan
Kandi Hudson, Kabuto, fish
Mr. Lang Schaden, Staryu, grasshopper
Jess White, Scyther, water buffalo
Mr. Jaime Veum, Fearow, raven
Kerry Predovic, Mew, bat
Su Schiller, Gastly, rhinoceros
Magen Feeney, Persian, manatee
Cathey Jones Sr., Golduck, elephant
Boris Conn V, Wartortle, llama
Jess Collier, Dratini, tiger
Martine Rogahn, Articuno, baboon
Danilo Wisoky, Lapras, caribou
Terra Becker, Hitmonlee, guinea pig
Daren Rice V, Abra, toad
Omar Crona, Marowak, kangaroo
Bobbie Hilll I, Machamp, porpoise
Dr. Shawana Koepp, Spearow, wildebeest
Miss Bryan Volkman, Voltorb, mallard
Kristi Schumm, Poliwag, serval
Shayne Ruecker, Omastar, gnu
Jong Aufderhar Sr., Clefable, porpoise
Ivette Wisoky MD, Dugtrio, mink
Luella Murphy, Rhydon, clam
Mr. Noel Keebler, Wartortle, rat
Gregory Bogan, Arcanine, seal
Ellamae Goyette IV, Gloom, snail
Mr. Tamekia Jacobson, Marowak, duck
Katelyn Hammes, Gloom, hamster
Angelo Jast I, Sandslash, beaver
