Lee Crist, Ninetales, gerbil
Malcom Cummings, Tentacool, leopard
Jessi Collins, Venomoth, muskrat
Hilma Jacobi, Weedle, gnu
Lillian Hartmann, Rapidash, trout
Gus Connelly, Krabby, tiger
Elvia Wehner, Wartortle, frog
Olene Russel, Kakuna, deer
Weston Schamberger V, Dratini, chinchilla
Dorthy Dach Jr., Ninetales, buffalo
Jestine Cartwright, Nidoking, louse
Mrs. Morris Murray, Ditto, rabbit
Waltraud Hoppe, Krabby, louse
Reinaldo Carroll, Weedle, manatee
Frankie Kihn Jr., Jynx, serval
Johnson Jacobs, Wigglytuff, dinosaur
Mrs. Hong Lubowitz, Articuno, herring
Wendell Jaskolski, Geodude, mosquito
Ms. Tarsha Walter, Jigglypuff, dinosaur
Blythe Stiedemann, Mew, shark
Jayme Dickinson, Dewgong, sea lion
Herbert Kautzer, Seaking, crab
Junita Gleason, Kakuna, mouse
Quincy Sporer, Poliwrath, water buffalo
Penny Witting I, Seaking, elephant
Dr. Annmarie Johnson, Snorlax, sardine
Elmer Zulauf, Krabby, oyster
Benjamin Reinger, Poliwrath, trout
Maple Leuschke, Magmar, toad
Keenan Nolan, Vaporeon, cheetah
Mrs. Mario Lueilwitz, Squirtle, deer
Fermin Runte, Arbok, gnat
Dannie Ernser Sr., Eevee, raccoon
Bea Kuphal, Staryu, wallaby
Thomas Bernhard, Ekans, clam
Dyan Parker, Charizard, jellyfish
Loren Turcotte, Gyarados, gerbil
Clinton Dietrich, Ditto, clam
Candyce Heidenreich, Lickitung, ferret
Mrs. Willard Feeney, Butterfree, wasp
Cierra Gutkowski II, Dragonite, wildebeest
Lindsay Treutel, Wartortle, reindeer
Larita Waters, Parasect, raven
Deeanna Gleason, Koffing, cheetah
Tiny Hodkiewicz, Ditto, turtle 
Cheryl Gibson, Farfetch'd, tiger
Randell Sawayn, Charmander, salmon
Chong Crist, Machop, duck
Lance Crooks DVM, Tentacool, raven
Louis Farrell, Meowth, sea lion
