Leta Turcotte, Caterpie, hippopotamus
Andera Johnson, Victreebel, goose
Walton Erdman IV, Doduo, eagle
Ryan Hamill, Charizard, wildebeest
Miss Shonna Koelpin, Scyther, donkey
Parker Willms Sr., Growlithe, eagle
Chanelle Heller, Pikachu, zebra
Dennis Fahey, Tauros, walrus
Hollis Nitzsche, Electabuzz, jackal
Raphael Senger, Golduck, grasshopper
Charles Stanton, Golbat, leopard
Harry Wolff, Grimer, shark
Ms. Les Powlowski, Onix, jackal
Mr. Delia Altenwerth, Clefairy, mole
Shirley Moore, Fearow, shark
Theo Kihn, Hitmonlee, wildebeest
Lavada Kuphal DDS, Pidgey, cheetah
Ms. Ma Kassulke, Horsea, goldfish
William Wolff, Weedle, gerbil
Dorian Pfeffer, Parasect, caribou
Vada Larson, Hitmonlee, sardine
Darin Trantow, Nidoqueen, porcupine
Dell Brakus, Eevee, otter
Caleb Reynolds, Doduo, armadillo
Zachariah Swaniawski, Butterfree, chimpanzee
Laronda Bernhard, Zubat, alpaca
Dr. Sunshine Williamson, Bulbasaur, mallard
Stuart Hettinger, Haunter, clam
Bryce White, Lapras, cockroach
Trent Hegmann, Seadra, caribou
Mrs. Abram Thompson, Hitmonlee, bear
Arlette Dooley, Starmie, goat
Odell Gusikowski, Jigglypuff, skunk
Noma Bayer, Machoke, salmon
Sergio Flatley DVM, Grimer, mole
Amalia Stoltenberg, Pikachu, spider
Michelina Lesch, Shellder, fly
Carleen Harvey, Meowth, cattle
Eduardo Brown, Caterpie, rhinoceros
Bernard Effertz, Pidgey, otter
Otto Greenfelder, Seadra, cattle
Cheyenne Simonis Jr., Electrode, lizard
Chung Rath, Venusaur, turtle 
Dr. Courtney Wiegand, Machop, dog
Millicent Runolfsson, Tentacool, walrus
Jean Effertz, Dragonite, salmon
Matilda Dach IV, Gloom, rat
Sam Boyle, Farfetch'd, water buffalo
Arleen Wolff, Tangela, wallaby
Santiago Lakin, Omastar, zebra
