Christopher Veum, Machoke, bee
Mireille Altenwerth, Raichu, herring
Arlene Dooley, Ivysaur, ox
Ms. Byron Sporer, Jynx, water buffalo
Lenard Weimann, Seadra, mole
Barbie Cruickshank, Krabby, walrus
Vanesa Abbott, Nidoran, mink
Mrs. Maryam Feest, Nidorino, mammoth
Celinda Ernser, Venonat, oyster
Shayla Morar IV, Dugtrio, mallard
Louie Towne, Slowbro, horse
Ursula Witting, Wartortle, mule
Percy McClure DVM, Seadra, fly
Carmelia Reynolds, Paras, weasel
Diego Stracke, Machoke, hound
Marylouise Friesen, Vulpix, cheetah
Ms. Olin Senger, Kabuto, scorpion
Alec Greenfelder, Mr. Mime, gnu
Charles Kunze, Marowak, chimpanzee
Napoleon Moore, Nidoran, shark
Cristen Shields MD, Dugtrio, mammoth
Mel Murphy, Exeggutor, gorilla
Jim Hamill, Wigglytuff, bear
Ms. Ignacio Moen, Goldeen, eagle
Louann Collier, Tangela, crab
Magali Smitham, Weepinbell, mink
Tressie Terry PhD, Nidoking, ant
Ms. Shirley Pouros, Tauros, panda
Carman Tremblay, Lapras, caribou
Denae Luettgen, Diglett, goldfish
Eve Stracke, Nidoqueen, ferret
Jimmie Rau DDS, Weezing, platypus
Mrs. Andres Daniel, Sandslash, tortoise
Mason Conn, Diglett, impala
Kisha Welch II, Charmeleon, snail
Ms. Oren Brakus, Flareon, crocodile
Lorine Koch, Dragonair, mosquito
Sherlene Carter, Sandshrew, dolphin
Millicent Kutch, Jynx, badger
Melissia Hudson, Machamp, rhinoceros
Dr. Gay Reinger, Sandslash, mole
Prince Lemke, Kabuto, ape
Ms. Terrie Sawayn, Machamp, porpoise
Wilburn Schiller, Marowak, elk
Dina Franecki Sr., Articuno, mule
Jordan Kihn, Ivysaur, swan
Monroe Green DDS, Cubone, gnat
Todd Barton, Tentacruel, minnow
Al Mayer DVM, Omastar, bee
Emerson Paucek, Weedle, ox
