Hyman Kassulke, Hitmonlee, ape
Tabatha Volkman MD, Ditto, trout
Miss Brant Langworth, Exeggutor, moose
Evan Marvin PhD, Caterpie, camel
Herbert Wintheiser, Dratini, beaver
Tashina Kiehn, Shellder, cat
Sherell Rau, Cloyster, bat
Katheryn Hodkiewicz III, Arbok, leopard
Cristopher Connelly, Koffing, herring
Nam Dicki, Tentacruel, cricket
Melia Bernhard, Omanyte, cicada
Lyle Wisoky I, Rhydon, leopard
Elroy Auer, Pinsir, alpaca
Sherry Shanahan Jr., Aerodactyl, horse
Blythe Lesch, Magnemite, baboon
Jose Langworth, Poliwhirl, trout
Magen McClure, Flareon, wombat
Owen Kris Jr., Porygon, hyena
Jerrell Hermiston, Victreebel, scorpion
Vicki Ziemann, Machamp, elk
Millard Bernhard MD, Aerodactyl, porcupine
Marylouise Mante, Clefairy, hound
Jayson Bednar DDS, Magneton, herring
Mrs. Winford Osinski, Dodrio, eagle
Larhonda O'Connell, Aerodactyl, scorpion
Jerald Mueller, Snorlax, hound
Veola Murray I, Ninetales, eel
Miss Denis McGlynn, Jigglypuff, swan
Rufus Mueller, Poliwag, hound
Thurman Klein II, Golem, hamster
Adelle Howell, Primeape, cat
Gabriel Rohan, Zapdos, goldfish
Dr. Luci Goldner, Sandshrew, lion
Johnsie Parisian, Wigglytuff, scorpion
Ethan Daugherty, Haunter, baboon
Miss Timothy Schmidt, Weezing, dinosaur
Ms. Xavier Gottlieb, Spearow, crocodile
Orville Dibbert, Vaporeon, swan
Dr. Adan Bartell, Venusaur, spider
Mrs. Duncan Wiza, Meowth, tortoise
Sanjuana Pollich, Sandshrew, duck
Ms. Gilberto Block, Geodude, moose
Erwin Robel, Exeggcute, shark
Mrs. Floyd Brekke, Alakazam, beaver
Janay Lesch, Poliwrath, snake
Soon McDermott, Butterfree, frog
Joanne Lesch, Clefairy, mouse
Keith Harvey, Raticate, cattle
Belkis Moen DVM, Machop, sea lion
William Vandervort, Zubat, platypus
