Lincoln Trantow, Kabutops, giraffe
Murray Herzog, Grimer, beetle
Yi Hammes, Weezing, eel
Mr. Launa Homenick, Muk, cattle
Walton Rohan, Kakuna, seal
Cornell Turcotte, Mewtwo, moose
Ray Schiller, Goldeen, gorilla
Dewey Nienow I, Beedrill, hyena
Edyth Weissnat, Ditto, kangaroo
Jerrod Cassin, Poliwrath, serval
Craig Borer, Bulbasaur, donkey
Sherman Mills, Farfetch'd, woodchuck
Quentin Powlowski, Sandslash, platypus
Teofila McCullough Sr., Poliwag, koala
Rodrigo Pfannerstill, Vaporeon, cheetah
Rhoda Spinka Sr., Bulbasaur, cricket
Kendal McDermott PhD, Machop, trout
Alton Kilback, Pidgeot, sea lion
Miss Alverta Stehr, Muk, fox
Roberto Bartoletti Sr., Voltorb, spider
Dr. Dewayne Rolfson, Parasect, crocodile
Sandy Fisher, Clefable, hedgehog
Jody O'Reilly, Dodrio, raccoon
James Huels, Pinsir, trout
Cristal Kerluke, Clefairy, frog
Vernon Collier Jr., Shellder, platypus
Neville Stehr, Charizard, turtle 
Brain Dach MD, Clefairy, swan
Irwin Jacobson, Mew, goat
Shona Lesch, Chansey, rhinoceros
Barney Wolf DDS, Nidoking, crow
Arianna Schaden, Farfetch'd, mosquito
Sam Pollich, Magneton, scorpion
Roberto Gutmann V, Vileplume, cricket
Phebe Mohr II, Parasect, shark
Mr. Zenobia Auer, Chansey, goldfish
Tyron Windler, Staryu, crab
Dr. Kirstie Shanahan, Primeape, toad
Deedra Spencer, Pidgeot, shark
Jacqui Pagac, Drowzee, hedgehog
Mr. Nolan Dickens, Vulpix, tortoise
Ms. Horacio Lesch, Clefable, beetle
Dinah Zulauf, Nidorina, gnu
Phylicia Zulauf, Kakuna, macaw
Samantha O'Reilly, Tentacruel, swan
Gregg Jaskolski, Tauros, llama
Damion Bartoletti, Weezing, ant
Leopoldo MacGyver, Magnemite, cat
Kate Williamson, Wigglytuff, crab
Emery Willms, Zubat, cat
