Jocelyn Towne III, Geodude, locust
Otis Baumbach, Poliwag, chinchilla
Gwenda Abbott V, Kakuna, oyster
Lizabeth Nader, Golduck, badger
Cami Sipes, Golem, porcupine
Mr. Larry Herman, Venusaur, water buffalo
Stephania Kerluke, Kingler, fish
Clair Zboncak MD, Psyduck, butterfly
Collette D'Amore, Electrode, armadillo
Carola Vandervort, Zubat, turtle 
Samara Quigley, Tauros, worm
Bernita Dare, Mr. Mime, alligator
Rex Swift, Gengar, manatee
Loma Bartell, Psyduck, giraffe
Marty Ledner I, Weezing, cockroach
Genesis Durgan, Horsea, goldfish
Raymond Ritchie III, Golduck, coyote
Maren Gibson, Machoke, worm
Erin Schumm, Seaking, worm
Billy Harber, Muk, mole
Trey Hackett Sr., Magneton, hare
Dr. Stanley Goldner, Venomoth, spider
Courtney Ruecker Jr., Nidorina, rat
Frances Turcotte, Jigglypuff, minnow
Carolynn Kemmer Jr., Kabutops, clam
Sheldon Satterfield, Tentacool, monkey
Kira Pacocha, Kabuto, salmon
Karmen Kunze III, Moltres, gnat
Domenic Nader Jr., Rattata, llama
Coy Kuvalis, Mewtwo, snake
Loreta Murray, Muk, water buffalo
Wes VonRueden, Machamp, marten
Mrs. Richard Heaney, Tentacruel, hippopotamus
Francis Osinski III, Gloom, monkey
Mickey King, Primeape, ferret
Earl Upton, Exeggutor, mole
Shanika Mante, Paras, termite
Tory Cummerata, Hypno, herring
Lewis Keebler, Raichu, snake
Lasonya Hoeger, Ivysaur, fly
Gabriele Lowe, Squirtle, snake
Melvina Cremin, Dugtrio, antelope
Jae Johnson IV, Hypno, beetle
Stefania Crooks, Cloyster, wildebeest
Santa Brekke, Koffing, koala
Mrs. Bobby Mills, Clefable, moose
Sonny Reynolds DDS, Electabuzz, mouse
Bettyann Weissnat, Psyduck, macaw
Felisa Batz, Tauros, cicada
Raelene Swift, Raichu, chinchilla
