Carmela Jerde, Gyarados, wildebeest
Miss Donovan King, Magmar, goldfish
Jerome Spencer, Poliwag, gerbil
Terina MacGyver, Exeggutor, wallaby
Larry VonRueden, Nidorino, beetle
Douglass Kemmer, Flareon, lizard
Vincenzo Kovacek, Jolteon, goose
Keneth Monahan, Machamp, donkey
Evon Tromp, Eevee, mammoth
Giuseppe Hodkiewicz, Starmie, raccoon
Garry Smitham DDS, Seel, moose
Mrs. Sandy Pfannerstill, Sandshrew, jellyfish
Phuong Welch, Gyarados, wasp
Vashti Altenwerth, Machop, manatee
Parker Beer, Moltres, dinosaur
Elvin Rohan, Raticate, wombat
Paulette Hagenes MD, Voltorb, sardine
Berenice Kling, Alakazam, kangaroo
Harris Kihn, Kabutops, porpoise
Brittni Bernier DVM, Jolteon, lizard
Kurt Schinner DVM, Jigglypuff, deer
Kyoko Waelchi DVM, Farfetch'd, mink
Suzie Schmidt, Gastly, chimpanzee
Bill Lehner, Squirtle, mammoth
Petronila Dooley I, Arbok, tiger
Doloris Olson V, Psyduck, swan
Enoch Walter, Rhydon, jellyfish
Leeanna Lockman, Wartortle, gnat
Sammy Breitenberg, Nidoran, toad
Valeria Labadie, Venusaur, salmon
Mrs. Chauncey Kuvalis, Staryu, crocodile
Dr. Glynis Von, Dewgong, mule
Arron Leffler, Poliwrath, elk
Dr. Lloyd Funk, Charmeleon, beaver
Kendall Runolfsdottir, Dugtrio, manatee
Timmy Waters, Ekans, porpoise
Isabelle Baumbach, Kakuna, fish
Ladonna Cummerata, Dugtrio, hare
Nickie Fisher, Ekans, crocodile
Avery Schumm III, Abra, locust
Clair Lynch, Spearow, butterfly
Julian Roberts, Grimer, gnu
Hildegard Harvey, Jynx, llama
Latesha Boyle, Porygon, spider
Lenny Luettgen, Scyther, butterfly
Rhett Upton, Electrode, raccoon
Otelia Bayer, Poliwhirl, ferret
Margeret Dickinson, Nidoqueen, donkey
Dr. Cletus Gibson, Kadabra, ant
Lindsay Rosenbaum, Butterfree, badger
