Roderick Cormier, Porygon, chinchilla
Roger McLaughlin, Caterpie, mosquito
Ms. Edda Leffler, Bellsprout, beaver
Miranda Mante, Haunter, dinosaur
Mr. Melvina Schinner, Jigglypuff, weasel
Donnie Beier, Omanyte, gnu
Vickie Monahan, Pinsir, walrus
Nathan Aufderhar Sr., Paras, scorpion
Bethel Ryan, Ivysaur, locust
Emory Marvin, Eevee, cicada
Jeffrey Balistreri IV, Sandshrew, beetle
Winona Howe, Hypno, swan
Rana Hoeger, Poliwrath, beetle
Edie Miller PhD, Mew, goose
Ms. Sage Stoltenberg, Bulbasaur, alligator
Michael Haley, Kadabra, gorilla
Lonny Gislason, Arbok, elk
Zaida Larkin, Ninetales, butterfly
Kip Renner II, Abra, frog
Dong Crona, Victreebel, weasel
Jess Toy, Venomoth, porpoise
Margie Hoeger, Squirtle, jellyfish
Mason Watsica, Vulpix, beaver
Charlsie Robel, Raticate, macaw
Mr. Calvin Padberg, Machop, rabbit
Marshall Heller, Golbat, tortoise
Mrs. Eugene Mitchell, Abra, prairie dog
Tiesha Wisoky II, Haunter, chimpanzee
Franklin Dicki, Venonat, buffalo
Weldon Witting II, Jigglypuff, fly
Dr. Larisa Schuppe, Kadabra, toad
Vaughn Robel, Ponyta, seal
Lauran Witting, Arcanine, turtle 
Julio Stark, Dragonite, swan
Wendi Rolfson, Meowth, chimpanzee
Ms. Burton Cole, Pidgeot, ox
Lita Abshire, Grimer, goldfish
Kristian Lesch II, Magikarp, toad
Miss Marx Kerluke, Zubat, hornet
Ms. Kenya Boehm, Dragonite, dinosaur
Monroe Watsica Sr., Aerodactyl, tortoise
Erwin Flatley DDS, Dragonite, bat
Ms. Dean Kuhlman, Charmander, crocodile
Miquel Keebler, Haunter, gnat
Isreal Schinner, Machamp, ferret
Bridgette Cummerata DDS, Marowak, trout
Mrs. Cedrick Beier, Muk, zebra
Jim Bergstrom, Parasect, ferret
Anton Ziemann DVM, Dewgong, shark
Twanna Hagenes, Raticate, rhinoceros
