Quinn Heller, Staryu, beetle
Dr. Hilton Blanda, Victreebel, panda
Dr. Samuel Hintz, Paras, coyote
Griselda Moore, Bellsprout, mallard
Cassie Heaney, Zapdos, bee
Eldon O'Reilly, Sandslash, yellowjacket
Harlan McClure, Tentacool, elephant
Ms. Hellen Weimann, Paras, impala
Markus Kautzer, Hitmonlee, worm
Andrew Graham, Weezing, skunk
Dion Sauer, Poliwhirl, horse
Andreas Lockman, Electabuzz, elephant
Dr. Tory Hand, Magneton, elephant
Lesha Bergstrom II, Growlithe, jackal
Adrian Moen, Pinsir, tiger
Tamiko O'Hara, Muk, crow
Marcellus Hermiston Jr., Dugtrio, cod
Leigha Lakin, Graveler, guinea pig
Lonnie Stokes III, Muk, wildebeest
Joelle Grant, Metapod, seal
Amos Daugherty, Omastar, toad
Mr. Lon Buckridge, Machoke, antelope
Richie Bruen, Rhydon, beetle
Ramon Emard, Starmie, giraffe
Kristyn Hammes, Poliwag, macaw
Max Larson, Voltorb, snail
Walker Renner, Pidgey, worm
Elizabeth Greenholt, Omastar, hound
Timothy Medhurst, Psyduck, spider
Mrs. Andreas Veum, Exeggcute, armadillo
Otto Kilback, Clefairy, worm
Jamie Becker, Horsea, woodchuck
Mr. Loyce Altenwerth, Pinsir, platypus
Luther Armstrong, Zubat, moose
Miss Farah Graham, Shellder, toad
Kathe Dare, Golbat, minnow
Jeffery Dickinson, Dragonite, muskrat
Rosina Brakus, Hypno, rabbit
Erlinda Collier, Arbok, mouse
Owen Cummings DDS, Nidoran, frog
Ms. Jaime Gutkowski, Golbat, eagle
Earle Bergstrom IV, Rapidash, grasshopper
Colin Gaylord, Rhyhorn, chimpanzee
Eugene Schimmel, Haunter, seal
Miss Ashlea Schuppe, Poliwhirl, alpaca
Mrs. Lester Runolfsson, Pinsir, goose
Vernita Wiegand, Koffing, butterfly
Doyle Spinka, Koffing, weasel
Earnestine Rau Sr., Pidgeot, gerbil
Shella Hegmann, Nidoran, wombat
