Kevin Grimes, Bellsprout, reindeer
Johnny Thiel, Tangela, grasshopper
Mrs. Andy Schumm, Dewgong, mallard
Mona Dicki, Parasect, trout
Rory Pouros, Arcanine, walrus
Latonya Stiedemann, Rattata, yellowjacket
Tristan Boehm, Kangaskhan, manatee
Wilber Kautzer, Zubat, grasshopper
Sterling Goyette, Kadabra, pig
Nyla Mitchell, Lickitung, locust
Carlena Stehr, Flareon, yellowjacket
Marco Stark DVM, Ivysaur, prairie dog
Delmar Bergstrom, Beedrill, cod
Gil Braun, Moltres, whale
Davis Kuhlman, Lickitung, bat
Cornelius Streich, Sandshrew, termite
Eddie Hansen, Dewgong, antelope
Bianca Roberts, Vulpix, alpaca
Cornell Boyer, Dragonite, hyena
Jamila Rohan, Graveler, whale
Daphine Anderson, Sandshrew, hyena
Carrol Nolan, Moltres, cricket
Dr. Zulma Weimann, Tentacruel, louse
Cary Prosacco, Electrode, mink
Shery Johnston II, Exeggcute, antelope
Stephine Hartmann, Ivysaur, rabbit
Iraida Hoppe, Pidgey, zebra
Dr. Margaret Kuphal, Golbat, guinea pig
Lane Kutch, Squirtle, hornet
Mr. Rubi Grady, Geodude, rat
Shawanda Wilkinson, Alakazam, sea lion
Jonathon Dare I, Golem, wallaby
Carol Pfeffer, Mr. Mime, cod
Miss Freeda Tillman, Machoke, wallaby
Landon Boyle, Hitmonchan, monkey
Mrs. Chantel Nader, Beedrill, locust
Janna Spencer, Victreebel, horse
Miquel Boehm II, Hitmonlee, trout
Deon Schulist Jr., Charmander, hedgehog
Darlena Ledner, Ponyta, pug
Refugio Lemke, Pidgeotto, swan
Chong O'Connell, Cubone, leopard
Jacque Turner, Exeggcute, butterfly
Miss Sidney Okuneva, Cubone, goldfish
Sonny Torp, Pikachu, chimpanzee
Jalisa Johnson, Seel, lion
Steve Medhurst III, Rapidash, whale
Mrs. Winston Nicolas, Sandslash, beetle
Catharine Donnelly, Ninetales, skunk
Mrs. Deandra Adams, Nidorino, jackal
