Darrick Spencer, Golbat, cheetah
Edelmira O'Connell, Grimer, salmon
Edythe Ebert, Sandshrew, fish
Reagan Koepp, Meowth, wallaby
Bettie Christiansen, Porygon, deer
Ms. Andra Osinski, Meowth, beetle
Ervin Wuckert, Exeggutor, moose
Harold Watsica, Muk, scorpion
Jacinto Wilkinson I, Magnemite, horse
Robby Kreiger DVM, Wartortle, sardine
Jeffery Crist, Lapras, scorpion
Rhett Haag, Voltorb, fly
Cedrick Stark, Onix, bat
Phil Krajcik, Golbat, snail
Mr. William Lebsack, Pidgey, jellyfish
Ms. Hoyt McGlynn, Rapidash, guinea pig
Mr. Cecil Weissnat, Seaking, beetle
Valerie Grady, Nidoking, bee
Ahmed Dicki, Gyarados, serval
Goldie Rice Jr., Machoke, goose
Rudy Maggio, Dodrio, elephant
Roderick Langosh, Voltorb, yak
Eleanora Moore DDS, Haunter, hippopotamus
Mr. Val Christiansen, Dragonite, gnat
Ms. Humberto Kunze, Squirtle, wallaby
Arlie Brown IV, Clefable, fly
Ronna Kling I, Vaporeon, bear
Heath Kessler, Ponyta, serval
Miss Dave Stanton, Flareon, goldfish
Maryam DuBuque, Rapidash, tortoise
Norman Becker, Sandshrew, wolf
Darnell Littel, Bellsprout, pug
Miss Ned Kerluke, Slowbro, beaver
Tammy MacGyver, Meowth, buffalo
Burl Cummerata, Rhydon, cricket
Miss Reinaldo Murazik, Nidoqueen, lion
Sherie Yost, Tentacool, pig
Jefferson Lemke, Primeape, snake
Tarra Kiehn MD, Kabutops, impala
Shanae Goyette, Slowpoke, impala
Timothy Littel, Nidoran, tiger
Wesley Considine, Exeggutor, coyote
Mina Gleichner, Dragonite, wallaby
Bobby Botsford, Goldeen, gnat
Mr. Eula O'Connell, Ivysaur, ant
Lashaunda Johnston, Nidorina, scorpion
Mrs. Carroll Bednar, Slowpoke, lizard
Ms. Remedios Johns, Horsea, shark
Valda Kohler V, Arbok, sardine
Elfriede Nienow I, Lapras, mosquito
