Dorian Stehr, Kingler, hamster
Wes Ritchie, Paras, walrus
Genaro Kuhic, Gloom, otter
Julio Tromp Jr., Venomoth, minnow
Sandy Nitzsche, Diglett, muskrat
Myrna Turner, Paras, lion
Miss Sylvie Howe, Oddish, camel
Mrs. Kyle Roob, Diglett, giraffe
Paris Muller, Spearow, cattle
Denisha Gorczany, Tentacruel, termite
Miss Moises Tillman, Cloyster, fly
Norris Schuppe, Gloom, raven
Miss John Treutel, Pikachu, badger
Gonzalo McKenzie Sr., Venonat, mole
Vernetta Carroll, Dodrio, raven
Lillian Macejkovic V, Dragonair, sea lion
Merilyn Schiller, Exeggutor, mink
Ms. Robbi Johns, Nidoking, lizard
Ardelia Beatty PhD, Moltres, worm
Louis Botsford, Magneton, fox
Marybelle Jerde, Jolteon, wildebeest
Rupert Johns Sr., Lapras, hyena
Kam Schimmel, Horsea, wasp
Yesenia Rau, Ivysaur, monkey
Maxie Waters, Clefairy, cockroach
Jerold Cremin, Graveler, mole
Ms. Genna Kertzmann, Weepinbell, dolphin
Rodrigo Bins, Machamp, jellyfish
Zack Hoeger, Mr. Mime, walrus
Mrs. Dudley Wiza, Nidoran, beetle
Miss Rasheeda Zieme, Muk, spider
Deangelo Raynor, Clefable, locust
Reuben Dach, Lapras, cricket
Mrs. Chong Casper, Ekans, herring
Teresita Metz, Paras, panda
Miss Cathey Jacobson, Marowak, koala
Jc Hansen, Machoke, hornet
India Hilll, Dragonite, butterfly
Alana Huels, Venusaur, crab
Ja Cormier, Gastly, manatee
Phil Rowe, Raichu, moose
Ina Weissnat, Scyther, grasshopper
Katie Haley PhD, Seadra, cockroach
Michael Krajcik, Ditto, dog
Emory Anderson, Fearow, gorilla
Krystin Conn I, Rhydon, squirrel
Enedina Nicolas, Seel, serval
Luigi Hyatt, Poliwrath, ferret
Harrison Boyer V, Persian, cat
Doria Champlin MD, Fearow, oyster
