Sacha Ruecker, Geodude, marten
Donald Predovic II, Ditto, zebra
Kathrine Lind, Poliwrath, eel
Mrs. Terrence Beier, Snorlax, clam
Romeo Stiedemann, Ponyta, pig
Mr. Aron Bogisich, Magnemite, yak
Clarice Bernier III, Seel, camel
Carlton Ferry, Tentacruel, crocodile
Tomiko Heidenreich, Rhydon, cricket
Jamar Mohr, Exeggcute, worm
Tobias Collier, Machamp, prairie dog
Bryon Lynch MD, Krabby, mole
Luanna Hoppe, Charmander, monkey
Evette Lueilwitz Sr., Charmander, armadillo
Mrs. Richie Dach, Abra, gorilla
Wallace Lesch MD, Golem, squirrel
Miss Sam Mertz, Dragonite, gorilla
Miss Ami Wehner, Dodrio, frog
Anne Botsford II, Arcanine, rhinoceros
Nannette Jacobs, Nidoran, guinea pig
Ms. Suellen Hermann, Eevee, clam
Lowell D'Amore, Fearow, yellowjacket
Manual Larson, Scyther, moose
Rosina Hane, Magikarp, woodchuck
Ms. Gena Wuckert, Lapras, crow
Otha Brakus, Charmander, crocodile
Lynwood Connelly Jr., Blastoise, mallard
Ferdinand Thiel, Starmie, ox
Youlanda Halvorson II, Dugtrio, clam
Elena Cummerata Sr., Seaking, duck
Junita Feest, Chansey, duck
Derrick Heathcote, Zapdos, hornet
Mrs. Raymond Donnelly, Zubat, walrus
Frederick Bayer, Weepinbell, grasshopper
Dr. Nicolas Hodkiewicz, Muk, turtle 
Allen Cartwright, Zubat, baboon
Miss Blake Smith, Venomoth, porpoise
Miss Stephaine Barrows, Seaking, grasshopper
Ms. Lincoln Smith, Growlithe, louse
Jewell Daugherty, Wigglytuff, otter
Cammie Fahey, Goldeen, raven
Alexander Streich, Sandshrew, badger
Leon Nolan PhD, Grimer, mink
Elvis Stoltenberg, Kingler, gnu
Raelene Nienow DDS, Gengar, bat
Cherlyn Connelly, Rattata, butterfly
Jeffery Huels, Haunter, mink
Ms. Maegan Will, Pidgey, water buffalo
Dr. Sibyl McLaughlin, Magmar, pug
Kirk Tromp MD, Ninetales, locust
