Laurel Luettgen, Mr. Mime, ape
Janae Witting, Psyduck, coyote
Francisco Halvorson III, Beedrill, reindeer
Dwayne Jerde Sr., Rattata, yak
Xenia Upton, Machamp, swan
Nathalie Marvin, Sandshrew, macaw
Olin Flatley, Cubone, woodchuck
Lindsay Conroy, Lickitung, porpoise
Miss Lashaunda Kunze, Machop, turtle 
Eloisa Lang, Geodude, cricket
Emmitt Ullrich PhD, Poliwhirl, goldfish
Justin Rempel PhD, Magikarp, horse
Reanna Emmerich, Paras, porcupine
Katheleen Batz, Golduck, dinosaur
Inge Kessler, Pidgeot, pug
Ricky Beer, Lickitung, bee
Flossie Berge, Rapidash, hamster
George Anderson PhD, Goldeen, walrus
Gay Nienow, Vaporeon, cheetah
Allen Cremin, Ditto, llama
Randal Sipes, Mewtwo, bat
Rubie Yost DDS, Wartortle, cicada
Refugia Hilpert, Tangela, guinea pig
Norine Zieme, Starmie, reindeer
Carl Herman, Shellder, duck
Ginger Sporer, Arbok, marten
Carlie Rodriguez, Gyarados, wildebeest
Mrs. Rickey Stoltenberg, Dragonair, tiger
Rosia Ward, Dragonair, rhinoceros
Dalia Casper, Diglett, serval
Nelida Mayer, Weedle, rabbit
Alberto Lowe, Magmar, shark
Nathanial Wilderman, Dodrio, sheep
Dannie Mitchell, Nidoran, sea lion
Nery Sawayn, Moltres, wasp
Michael Little, Porygon, mammoth
Brain Wilkinson, Kangaskhan, mosquito
Tanna Renner, Graveler, hound
Kathy Olson Jr., Omastar, coyote
Ms. Man Carter, Poliwrath, baboon
Ms. Dwayne Rowe, Nidorino, eagle
Dr. Erin Satterfield, Gyarados, dolphin
Providencia Bosco, Spearow, raccoon
Yael Walker, Snorlax, yak
Queen Herzog Jr., Rapidash, hare
Earl Stamm, Sandshrew, hedgehog
Miss Myong Jacobi, Diglett, louse
Toi Mraz, Electabuzz, fly
Margarette Weimann, Dugtrio, snake
Loura Cormier, Machoke, whale
