Devon Willms, Eevee, seal
Edie Collins, Oddish, gnat
Christopher Lemke V, Mankey, marten
Son Bartell, Exeggcute, locust
Trey Deckow, Horsea, hornet
Janay Reynolds, Goldeen, muskrat
Xiao Prohaska II, Paras, elk
Marcella Walsh MD, Dewgong, gnu
Stacy Metz, Jynx, sheep
Jennifer Hamill I, Charizard, bee
Buddy Upton, Nidoqueen, hornet
Mrs. Rosalinda Swift, Nidorino, koala
Mrs. Terresa Ullrich, Slowbro, goose
Dulcie Bauch, Clefairy, rat
Ashlea Jakubowski DDS, Rhydon, gnu
Darrick Funk, Hypno, clam
Nelson Carroll, Drowzee, sardine
Renato Altenwerth, Seadra, shark
Inez Barton, Mew, cricket
Darron Russel V, Wartortle, dolphin
Ed Ondricka Sr., Exeggcute, porcupine
Rubi Hand, Poliwag, beaver
Mrs. Solomon Pfeffer, Persian, herring
Shirlene Mitchell, Kingler, herring
Page Hermann, Kabuto, dog
Kennith Ryan, Pidgey, oyster
Emilio Doyle V, Poliwhirl, rabbit
Mack Adams V, Dragonite, goldfish
Jerald Schamberger, Poliwhirl, tiger
Chantelle Mosciski V, Arcanine, monkey
Reginald Luettgen, Dragonair, wolf
Clorinda Hyatt, Flareon, cattle
Darcy Mohr, Persian, guinea pig
Bernardo Medhurst, Growlithe, wombat
Reatha Windler II, Drowzee, baboon
Miss Shanae Bashirian, Kakuna, wolf
Carri Ortiz Sr., Ditto, mink
Jc Schimmel, Starmie, porpoise
Noel Rice Sr., Magmar, guinea pig
Ezequiel Paucek, Psyduck, hedgehog
Clarence Kohler, Pidgeot, ant
Leigh Wolff, Exeggutor, squirrel
Liza Schoen Jr., Dragonite, hound
Gus Walker, Geodude, hedgehog
Bennie Herman, Lapras, wolf
Arthur Hackett II, Electrode, jellyfish
Vicente Herzog, Dewgong, gnat
Percy Klein, Magneton, antelope
Dr. Daryl Cummerata, Seel, hyena
Miss Serina Schinner, Magnemite, eel
