Elliott Tromp, Pinsir, gorilla
Maynard Schowalter, Hitmonchan, hound
Mrs. Milford Roob, Scyther, cattle
Kayla Collier, Persian, duck
Mr. Valerie Spencer, Butterfree, ox
Lonna Heathcote, Graveler, goose
Remedios Hessel, Slowpoke, armadillo
Sheila Bartoletti, Porygon, gnat
Gaston Steuber, Spearow, alpaca
Annemarie Hagenes, Jolteon, mole
Michal Stanton, Shellder, deer
Javier Gaylord, Pidgey, marten
Gina O'Connell IV, Dragonair, fish
Ligia Champlin, Poliwrath, grasshopper
Winford Greenholt, Onix, crow
Violette Pouros, Pidgey, wallaby
Thaddeus Tillman, Jynx, ape
Miss Buddy Mayert, Scyther, elephant
Launa Trantow DVM, Nidorina, gorilla
William Glover, Squirtle, badger
Louis Mertz, Scyther, walrus
Roderick Torp, Paras, elephant
Juli Mohr, Ivysaur, squirrel
Dr. Xochitl Beier, Machoke, cattle
Van Hagenes, Weezing, sea lion
Alpha Rohan DDS, Farfetch'd, cod
Tyrone Rutherford, Kingler, beetle
Jonathan O'Reilly, Clefairy, swan
Lucien Heaney, Blastoise, beetle
Mr. Gino Lindgren, Golem, raccoon
Brent Emard, Charizard, deer
Liz Lind, Meowth, leopard
Domenica Herman, Squirtle, duck
Mrs. Christene Becker, Moltres, grasshopper
Daria Funk, Chansey, serval
Dillon Shields, Hypno, whale
Ms. Jude Harvey, Tangela, tiger
Miss Annabel Terry, Scyther, squirrel
Leland Reilly IV, Poliwrath, prairie dog
Gricelda Ratke Sr., Aerodactyl, crow
Pablo Lesch I, Pidgeotto, lion
Jody Baumbach, Arbok, bee
Timika Kemmer, Ponyta, salmon
Deneen Jones, Mr. Mime, monkey
Rodney Hermiston V, Weedle, hedgehog
Jackqueline Farrell, Shellder, beaver
Mr. Lucy Marks, Victreebel, jackal
Dr. Myong Carroll, Dragonite, trout
Mr. Donny Simonis, Dragonite, clam
Keshia Thiel, Grimer, butterfly
