Luanna Fadel, Nidoran, skunk
Carmelo Ryan, Machamp, rabbit
Leah Gerhold PhD, Arbok, armadillo
Leslie Rowe, Onix, snail
Charleen Weissnat, Omastar, termite
Dr. Graig Gottlieb, Nidoking, moose
Elayne Morissette, Geodude, cicada
Shawanna Davis, Gloom, giraffe
Gordon Flatley III, Exeggutor, wasp
Miss Marlin Windler, Mankey, herring
Rosette Miller, Mew, turtle 
Collin Kautzer, Chansey, goat
Roscoe Terry DVM, Kabutops, goat
Lecia Feest, Muk, pig
Miss Rosario Johns, Machop, yak
Rosaline Thompson, Haunter, raven
Glory Blanda, Blastoise, goose
Miss Amber Legros, Weepinbell, cricket
Sasha Mohr, Persian, rabbit
Ahmad Miller DVM, Aerodactyl, squirrel
Gayle Daugherty DVM, Tauros, fly
Cindie Volkman, Ninetales, cod
Miss Christian Cummerata, Slowpoke, mink
Sterling Tremblay, Golem, goose
Jacques Sanford, Raichu, mallard
Kristine Koelpin, Tauros, eel
Herbert Bogan PhD, Weezing, beaver
Dante West, Mr. Mime, porcupine
Ms. Willard Volkman, Koffing, termite
Robbi Conroy, Mew, chimpanzee
Warner Kub, Hitmonchan, mole
Tesha Thompson, Clefable, alpaca
Sang Welch, Koffing, manatee
Steffanie Cruickshank, Exeggcute, cod
Melvin Schumm, Tentacruel, crow
Roberta Bradtke, Arcanine, cockroach
Gordon Roob, Slowbro, guinea pig
Thao Leannon, Nidoqueen, woodchuck
Cornelius Dickinson, Ponyta, porcupine
Dexter Kertzmann, Weepinbell, walrus
Shelton Prohaska, Mankey, gerbil
Desmond Collins, Tentacruel, moose
Lavona Ritchie II, Bellsprout, raccoon
Maryann Beahan, Shellder, impala
Mrs. Brendan Ziemann, Pidgey, yak
Ms. Klara Effertz, Graveler, trout
Whitney Yost, Vileplume, impala
Antwan Muller, Kabuto, yak
Drew Schuppe, Oddish, mole
Meghan Hammes, Mewtwo, water buffalo
