Eura Herman, Onix, snake
Ms. Lonnie Lind, Paras, armadillo
Andre Moen, Wigglytuff, porpoise
Alverta D'Amore, Raticate, beaver
Dr. Ezequiel Schmidt, Moltres, ox
Mrs. Corie Dibbert, Caterpie, beaver
Federico Heathcote, Wigglytuff, rabbit
Rick West, Flareon, porpoise
Dr. Owen Baumbach, Metapod, termite
Christiana Medhurst, Poliwag, crocodile
Lillian Gleason DDS, Mr. Mime, crow
Mr. Christina Spinka, Poliwhirl, shark
Mrs. Carol Zieme, Jolteon, crab
Mrs. Joanie Aufderhar, Raichu, kangaroo
Rolf Dare, Kadabra, gnu
Long Ruecker, Wigglytuff, leopard
Myron Turner, Kakuna, mallard
Charlie Friesen, Chansey, donkey
Ignacia Jaskolski, Mew, tortoise
Ladawn Kovacek, Cubone, elk
Everette Schmeler, Poliwhirl, fish
Velia Mraz, Slowbro, pug
Mr. Josh Mayert, Venonat, ape
Mr. Jennette Mosciski, Nidorino, kangaroo
Raul Kessler, Aerodactyl, gnat
Willis Harris, Nidoking, rat
Yelena Altenwerth, Gengar, trout
Dr. Hipolito Ruecker, Geodude, clam
Donette Schiller, Raichu, sea lion
Ching Block, Geodude, tiger
Arlette Leffler, Kabutops, hare
Berniece Hammes, Abra, dog
Gerald Steuber, Arcanine, rabbit
Michaela Powlowski DVM, Gloom, cheetah
Rheba Reichel, Drowzee, giraffe
Jefferey Stamm, Pidgeot, tiger
Karima Labadie I, Raichu, goose
Ms. Vikki Morar, Pikachu, platypus
Norbert Mitchell, Kabutops, cicada
Hung Hammes, Grimer, manatee
Leroy Frami DDS, Geodude, shark
Jesusa Bednar, Magnemite, worm
Mrs. Rolf Hamill, Haunter, termite
Diego Koelpin, Arcanine, gerbil
Savanna Mraz, Persian, ant
Mr. Kyle Schmitt, Venomoth, cockroach
Miss Irving Marquardt, Machop, elk
Maurice Mueller, Dewgong, prairie dog
Ellsworth Harber, Lapras, termite
Dr. Deon O'Keefe, Spearow, minnow
