Shonta Boehm, Slowpoke, gnat
Lenard Cummings DVM, Bulbasaur, bee
Ms. Eddy Prosacco, Cloyster, worm
Suzanna Lynch, Persian, panda
Mr. Janiece Hoeger, Hitmonchan, minnow
Modesto Franecki III, Dratini, sea lion
Charlesetta Schumm, Cloyster, ox
Larita Braun, Dragonite, herring
Marco Pfannerstill, Poliwrath, mosquito
Yan Sauer, Bellsprout, cat
Garfield Kub II, Pidgey, otter
Bernardo Lubowitz, Butterfree, zebra
Niki Bergstrom PhD, Golem, camel
Henry Kilback, Krabby, mosquito
Ashli Beatty, Sandslash, frog
Leonida Grant IV, Clefable, yak
Kelsie Hessel, Sandslash, woodchuck
Dona Boyer, Vileplume, dolphin
Arden Stokes, Bellsprout, rabbit
Janina Miller, Graveler, lizard
Stanton Gaylord, Dragonite, cod
Lurlene Kub, Hitmonchan, moose
Colleen Bode, Mewtwo, frog
Martin Mosciski, Slowpoke, woodchuck
Cristi Herzog, Victreebel, jackal
Mr. Stan Buckridge, Tentacruel, bee
Miss Theressa Roberts, Porygon, hyena
Sandy Wunsch, Psyduck, snail
Rashad O'Conner, Magmar, jackal
Reagan Schinner, Kadabra, chimpanzee
Elroy Ritchie I, Articuno, cicada
Owen Kessler, Zubat, armadillo
Lincoln Bahringer, Dratini, otter
Cecille Batz, Tentacruel, hippopotamus
Mr. Pearline Grant, Ivysaur, hound
Zane Cummings, Bulbasaur, donkey
Theodore Leffler, Weedle, ox
Jim Thiel, Kabuto, hedgehog
Jordon Schuppe, Nidoking, cat
Ladawn Marquardt, Kingler, cat
Chet Marvin, Nidoran, chimpanzee
Micah Wisoky, Cloyster, llama
Nickolas Mohr, Ekans, deer
Dr. Lurlene Macejkovic, Metapod, giraffe
Mrs. Cody Yost, Tauros, hyena
Bo Nolan, Rhyhorn, mole
Monroe Denesik, Dewgong, donkey
Miss Valentine Beahan, Electrode, rat
Alton Volkman, Nidorino, seal
Anderson Mueller, Magneton, llama
