Mr. Sudie Lynch, Gloom, otter
Jeromy Gorczany, Pidgeot, gnat
Amos McGlynn, Ekans, crab
Minh Crooks V, Tentacool, goose
Alline Abshire, Primeape, guinea pig
Jeffrey Rowe, Pinsir, crocodile
Dr. Aaron Strosin, Voltorb, macaw
Valentine Flatley, Golbat, snake
Mrs. Gavin Hoeger, Venusaur, sea lion
Mrs. Kayla Brekke, Aerodactyl, cattle
Myra Hammes, Tentacool, frog
Amiee Bartell, Vileplume, herring
Jacalyn Schamberger, Electabuzz, cheetah
Tad Stracke, Kakuna, platypus
Ellie Green DDS, Abra, wombat
Ms. Tena Marks, Ekans, cheetah
Veta Schneider MD, Venonat, fly
Candida Walter, Oddish, mule
Mr. Whitney Murphy, Graveler, porpoise
Candi Daniel, Gengar, locust
Dr. Brenna Wilkinson, Seaking, lizard
Lyle Gaylord, Kadabra, elephant
Norberto Kessler, Gengar, swan
Shavonda McDermott, Pidgeot, herring
Theodore Konopelski Jr., Lapras, zebra
Darin Beatty, Kabutops, woodchuck
Emile Balistreri, Poliwhirl, beaver
Mrs. Rodney Kirlin, Caterpie, porpoise
Christopher Steuber, Nidoran, snake
Emely Jacobi, Beedrill, swan
Thersa Robel, Geodude, hound
Ms. Britt Kuhlman, Mew, ferret
Lincoln Pfeffer, Arbok, woodchuck
Tim Casper, Eevee, shark
Ms. Rickey Douglas, Vileplume, goldfish
Lurline Abshire, Pidgeot, deer
Lilian Marvin, Seel, baboon
Kylie Tremblay, Machop, seal
Lorina Marquardt, Mew, kangaroo
Portia Graham, Kadabra, chinchilla
Aubrey Nicolas DVM, Rattata, cattle
Carmon Satterfield, Pidgeotto, woodchuck
Jed Simonis, Shellder, ox
Fidel Heaney, Abra, skunk
Laurence Cormier, Charmander, platypus
Freddie McKenzie, Electrode, serval
Ms. Benton Halvorson, Persian, beetle
Werner Little, Graveler, gerbil
Candra Huel, Fearow, seal
Mr. Willie Windler, Persian, alpaca
