Saul Durgan, Vileplume, fish
Micheal Blick, Snorlax, herring
Sol Gibson, Omastar, ape
Kellee Smith III, Vileplume, marten
Dr. Kattie Muller, Zapdos, minnow
Rhett Wilkinson, Kabuto, wasp
Amos Hermiston, Zubat, hippopotamus
Faustina Rau, Nidoran, mule
Mr. Jae Stark, Primeape, walrus
Kecia Blanda Jr., Rapidash, manatee
Aileen Schultz, Dragonair, bat
Ashanti Langosh, Jolteon, guinea pig
Myrta Kulas, Magneton, sheep
Hassan Brakus DVM, Magmar, cod
Alva Trantow, Magmar, lion
Gilda Aufderhar, Tauros, buffalo
Jame Rodriguez, Dewgong, fox
Mary Brakus, Weepinbell, trout
Olinda Boyer III, Mewtwo, caribou
Tyson Connelly, Farfetch'd, chinchilla
Mickey Donnelly, Golduck, sheep
Grover Schowalter MD, Drowzee, giraffe
Ms. Eric Littel, Meowth, gnu
Murray O'Connell, Persian, kangaroo
Mrs. Rebbecca Torphy, Ekans, cockroach
Mrs. Marcella Brown, Slowbro, oyster
Eduardo Green, Krabby, crocodile
Bula Schimmel, Venusaur, shark
Ricardo O'Hara, Tentacool, panda
Salley Veum, Seaking, goose
Martin O'Hara, Seel, grasshopper
Lakia Von MD, Starmie, buffalo
Dr. Vera Leannon, Staryu, cheetah
Camilla Stark V, Flareon, tortoise
Miss Susannah Krajcik, Aerodactyl, weasel
Tristan Raynor, Starmie, spider
Dr. Wm Fritsch, Muk, herring
Raphael Glover, Primeape, ferret
Lecia Quitzon, Zapdos, fish
Tomi Vandervort, Poliwag, ant
Bob Dickens III, Onix, frog
Hubert Heathcote, Charizard, raccoon
Emmett Krajcik, Wigglytuff, mosquito
Monet Thiel, Kangaskhan, snail
Tommy Effertz II, Doduo, mole
Miss Lovie Spencer, Muk, rat
Ms. Gavin Grady, Eevee, cattle
Johnette Kunde, Abra, impala
Ardell Lakin, Vaporeon, minnow
Bart Bins, Seaking, jellyfish
