Breana Becker DDS, Kingler, badger
Garth Bosco IV, Seel, butterfly
Emmett Abbott, Flareon, salmon
Houston Hoppe, Pinsir, donkey
Lawerence Homenick, Eevee, louse
Casimira Botsford, Moltres, termite
Tressa Kuphal, Chansey, skunk
Coletta Lesch, Ekans, crocodile
Sherril Weissnat, Rhydon, wallaby
Ferdinand Roberts, Onix, camel
Miss Houston Volkman, Kabutops, rabbit
Rey Larkin, Arbok, porpoise
Shawnee Miller, Koffing, yellowjacket
Sharyl Christiansen, Fearow, shark
Arielle Effertz V, Poliwrath, antelope
Chantel Little, Seaking, jellyfish
Lenora Pagac MD, Beedrill, eel
Francis Green, Poliwag, crow
Kali Harber I, Abra, gnat
Saundra Barrows, Beedrill, gorilla
Dr. David Larkin, Muk, reindeer
Sheldon Oberbrunner, Poliwhirl, spider
Lyman Nienow, Arcanine, cockroach
Marcell Zulauf, Sandslash, jellyfish
Shon Skiles, Nidoking, sheep
Lynne Mitchell, Caterpie, cat
Jarred Bartoletti, Krabby, gnat
Mr. Lan King, Seaking, worm
Dr. Tynisha Koepp, Squirtle, clam
Terisa Willms, Machop, walrus
Lyn Little, Geodude, armadillo
Deandre Gaylord, Metapod, dog
Leigh Ankunding, Hypno, monkey
Tyree Rowe, Oddish, serval
Miss Genaro Muller, Squirtle, caribou
Lance Johnston, Psyduck, shark
Jules Herzog, Grimer, beaver
Dacia O'Kon, Vulpix, platypus
Brande Tillman, Slowpoke, ferret
Ms. Lorine Turcotte, Rhydon, jellyfish
Rhiannon McClure, Ivysaur, serval
Renate Parker, Jigglypuff, eel
My O'Reilly, Voltorb, sheep
Ms. Lawrence Toy, Clefairy, herring
Keren Schneider, Magneton, jellyfish
Lynnette Feest III, Bellsprout, mammoth
Rolland Fisher, Ditto, dog
Maricruz Blanda, Pidgeot, antelope
Ms. Austin Konopelski, Weepinbell, porpoise
Reva Jones, Porygon, horse
