Therese Huels, Alakazam, hornet
Jc Bashirian, Aerodactyl, coyote
Del Sauer, Vileplume, water buffalo
Mr. Irina Morissette, Eevee, walrus
Dee Roob, Parasect, cat
Rocky Wiegand, Arcanine, deer
Jana Stehr PhD, Magmar, alpaca
Neoma Gorczany, Slowbro, spider
Vance Hauck, Golem, ferret
Roman Heller, Haunter, clam
Vern Grimes PhD, Machamp, elk
Wade Lind, Seel, herring
Bok Mann IV, Goldeen, swan
Dr. Jarod Morar, Gengar, gorilla
Gladis Nader, Nidoran, monkey
Laurence Marvin, Mankey, squirrel
Sylvester Hintz MD, Weedle, sheep
Tim Willms, Hitmonlee, donkey
Lenny Wehner, Moltres, walrus
Mathew Gleichner MD, Cloyster, armadillo
Avril Barton, Hitmonchan, armadillo
Reuben Reilly, Poliwhirl, fly
Nila Macejkovic, Tauros, bat
Mac Herman DDS, Jynx, cicada
Shala Jerde V, Diglett, macaw
Trent Hintz, Blastoise, beaver
Priscila Jacobi, Venonat, mallard
Matt Bosco, Charizard, coyote
Sadie Keeling, Vulpix, antelope
Barry King, Kabuto, mule
Justine Robel, Seadra, seal
Karyl Lowe, Oddish, giraffe
Brigette Grady, Ekans, louse
Franklin Morar, Nidoran, giraffe
Mrs. Milo Orn, Weezing, horse
Edwin Witting, Seel, worm
Jama Moore, Magnemite, panda
Arlyne Pacocha IV, Moltres, whale
Dr. Courtney Paucek, Gengar, trout
Ms. Shiloh DuBuque, Moltres, frog
Buster Wunsch Jr., Krabby, cheetah
Alan Roob, Pidgeot, rhinoceros
Mr. Heide Berge, Cubone, toad
Lakeesha Yundt, Weezing, jellyfish
Trudy O'Kon, Cloyster, turtle 
Francine Gusikowski, Machop, rabbit
Bobbie Schneider V, Omastar, muskrat
Michale Herman, Ninetales, dinosaur
Ressie Fadel MD, Goldeen, hornet
Fernande Schmidt IV, Arbok, walrus
