Edward Marks II, Blastoise, toad
Clayton Howell, Bulbasaur, minnow
Yong Larkin, Clefairy, mule
Fletcher Stiedemann, Jynx, mule
Elsie Becker, Spearow, kangaroo
Royce Schmidt Sr., Sandshrew, ant
Terrance Abshire, Jigglypuff, gnu
Ms. Hans Littel, Spearow, rat
Magda Spencer Sr., Dratini, squirrel
Page Volkman, Nidoqueen, squirrel
Mel Williamson Sr., Rapidash, beetle
Sherlyn Walker, Electabuzz, lion
Wesley Graham, Koffing, mosquito
Daren Gislason PhD, Ivysaur, bee
Kim Will, Voltorb, fox
Stefanie Marks III, Mr. Mime, zebra
Federico Stracke, Poliwrath, mink
Ms. Becky Von, Jigglypuff, marten
Antonietta Kiehn Jr., Hitmonchan, grasshopper
Ms. Myrl Rogahn, Weepinbell, sea lion
Dr. Johnna Zieme, Persian, elk
Lura Funk, Dugtrio, wildebeest
Jaimie Dach, Magneton, scorpion
Ezekiel Armstrong, Ivysaur, goose
Jamaal Langworth Sr., Bellsprout, impala
Dr. Rae Buckridge, Persian, muskrat
Tyler Romaguera, Muk, pug
Ferdinand Block, Diglett, herring
Mrs. Valda Windler, Golduck, hamster
Kathlyn Kozey III, Magneton, giraffe
Cami Shanahan III, Kabutops, porpoise
Stephany Windler II, Grimer, reindeer
Shelia Gerhold, Hypno, rhinoceros
Ronnie Rowe, Magneton, caribou
Mrs. Dane Sawayn, Grimer, woodchuck
Ron Rohan, Paras, mammoth
Miss Coy Lynch, Persian, fly
Sabra Haley, Golbat, bear
Mr. Audrey Corkery, Rattata, cat
Nannie Lockman, Poliwrath, gerbil
Sheba Smith I, Kangaskhan, gnat
Augustine Kemmer, Shellder, moose
Miss Anya Goldner, Metapod, marten
Lanell Powlowski, Dewgong, crab
Chong Wiza PhD, Vulpix, skunk
Renee Feeney, Doduo, porcupine
Owen Gusikowski PhD, Nidoran, gorilla
Darlene Hamill, Diglett, leopard
Christel Frami, Arbok, goat
Lenny Hamill, Starmie, grasshopper
